Experiment,Item,Condition,Condition_ID,quantifier,scenario,n_quantifier,n_target_objects,shape_noun,color_adjective1_zh,color_adjective2_zh,Sentence_chinese,Expected_answer_zh,list,target_objects,Form_left,colour1_left,n_colour1_left,colour2_left,n_colour2_left,Form_right,colour1_right,n_colour1_right,colour2_right,n_colour2_right,Image,Type
ESQ,1,4,16,no,large_control,3.0,5.0,square,蓝色,,这不是方形蓝吗？,不对,3,right,circle,blue,3,red,4,square,blue,5,red,0,pic1_large_control.svg,Trial
ESQ,2,1,1,less,empty_restrictor,4.0,7.0,circle,橙,,小于四个圆圈是橙色的吗？,有趣的问题,2,right,heart,orange,4,pink,5,cross,orange,3,pink,4,pic2_empty_restrictor.svg,Trial
ESQ,2,2,2,less,empty_scope,4.0,7.0,circle,橙,,小于四个圆圈是橙色的吗？,对的,3,right,heart,orange,4,pink,5,circle,orange,0,pink,7,pic2_empty_scope.svg,Trial
ESQ,2,3,3,less,small_control,4.0,7.0,circle,橙,,小于四个圆圈是橙色的吗？,对的,4,right,heart,orange,4,pink,5,circle,orange,1,pink,6,pic2_small_control.svg,Trial
ESQ,2,4,4,less,large_control,4.0,7.0,circle,橙,,小于四个圆圈是橙色的吗？,不对,1,right,heart,orange,4,pink,5,circle,orange,7,pink,0,pic2_large_control.svg,Trial
ESQ,2,1,5,more,empty_restrictor,4.0,7.0,circle,橙,,超过四个圆圈是橙色的吗？,有趣的问题,3,right,heart,orange,4,pink,5,cross,orange,3,pink,4,pic2_empty_restrictor.svg,Trial
ESQ,2,2,6,more,empty_scope,4.0,7.0,circle,橙,,超过四个圆圈是橙色的吗？,不对,4,right,heart,orange,4,pink,5,circle,orange,0,pink,7,pic2_empty_scope.svg,Trial
ESQ,2,3,7,more,small_control,4.0,7.0,circle,橙,,超过四个圆圈是橙色的吗？,不对,1,right,heart,orange,4,pink,5,circle,orange,1,pink,6,pic2_small_control.svg,Trial
ESQ,2,4,8,more,large_control,4.0,7.0,circle,橙,,超过四个圆圈是橙色的吗？,对的,2,right,heart,orange,4,pink,5,circle,orange,7,pink,0,pic2_large_control.svg,Trial
ESQ,2,1,9,every,empty_restrictor,4.0,7.0,circle,橙,,每个圆圈都是橙色的吗？,有趣的问题,4,right,heart,orange,4,pink,5,cross,orange,3,pink,4,pic2_empty_restrictor.svg,Trial
ESQ,2,2,10,every,empty_scope,4.0,7.0,circle,橙,,每个圆圈都是橙色的吗？,不对,1,right,heart,orange,4,pink,5,circle,orange,0,pink,7,pic2_empty_scope.svg,Trial
ESQ,2,3,11,every,small_control,4.0,7.0,circle,橙,,每个圆圈都是橙色的吗？,不对,2,right,heart,orange,4,pink,5,circle,orange,1,pink,6,pic2_small_control.svg,Trial
ESQ,2,4,12,every,large_control,4.0,7.0,circle,橙,,每个圆圈都是橙色的吗？,对的,3,right,heart,orange,4,pink,5,circle,orange,7,pink,0,pic2_large_control.svg,Trial
ESQ,2,1,13,no,empty_restrictor,4.0,7.0,circle,橙,,不是圆圈是橙色的吗？,有趣的问题,1,right,heart,orange,4,pink,5,cross,orange,3,pink,4,pic2_empty_restrictor.svg,Trial
ESQ,2,2,14,no,empty_scope,4.0,7.0,circle,橙,,不是圆圈是橙色的吗？,对的,2,right,heart,orange,4,pink,5,circle,orange,0,pink,7,pic2_empty_scope.svg,Trial
ESQ,2,3,15,no,small_control,4.0,7.0,circle,橙,,不是圆圈是橙色的吗？,不对,3,right,heart,orange,4,pink,5,circle,orange,1,pink,6,pic2_small_control.svg,Trial
ESQ,2,4,16,no,large_control,4.0,7.0,circle,橙,,不是圆圈是橙色的吗？,不对,4,right,heart,orange,4,pink,5,circle,orange,7,pink,0,pic2_large_control.svg,Trial
ESQ,3,1,1,less,empty_restrictor,4.0,6.0,heart,灰色,,是不是少于四颗心是灰色的？,有趣的问题,3,right,triangle,grey,2,yellow,3,square,grey,3,yellow,3,pic3_empty_restrictor.svg,Trial
ESQ,3,2,2,less,empty_scope,4.0,6.0,heart,灰色,,是不是少于四颗心是灰色的？,对的,4,right,triangle,grey,2,yellow,3,heart,grey,0,yellow,6,pic3_empty_scope.svg,Trial
ESQ,3,3,3,less,small_control,4.0,6.0,heart,灰色,,是不是少于四颗心是灰色的？,对的,1,right,triangle,grey,2,yellow,3,heart,grey,2,yellow,4,pic3_small_control.svg,Trial
ESQ,3,4,4,less,large_control,4.0,6.0,heart,灰色,,是不是少于四颗心是灰色的？,不对,2,right,triangle,grey,2,yellow,3,heart,grey,6,yellow,0,pic3_large_control.svg,Trial
ESQ,3,1,5,more,empty_restrictor,4.0,6.0,heart,灰色,,四颗以上的心是灰色的吗？,有趣的问题,4,right,triangle,grey,2,yellow,3,square,grey,3,yellow,3,pic3_empty_restrictor.svg,Trial
ESQ,3,2,6,more,empty_scope,4.0,6.0,heart,灰色,,四颗以上的心是灰色的吗？,不对,1,right,triangle,grey,2,yellow,3,heart,grey,0,yellow,6,pic3_empty_scope.svg,Trial
ESQ,3,3,7,more,small_control,4.0,6.0,heart,灰色,,四颗以上的心是灰色的吗？,不对,2,right,triangle,grey,2,yellow,3,heart,grey,2,yellow,4,pic3_small_control.svg,Trial
ESQ,3,4,8,more,large_control,4.0,6.0,heart,灰色,,四颗以上的心是灰色的吗？,对的,3,right,triangle,grey,2,yellow,3,heart,grey,6,yellow,0,pic3_large_control.svg,Trial
ESQ,3,1,9,every,empty_restrictor,4.0,6.0,heart,灰色,,每颗心都是灰色的吗？,有趣的问题,1,right,triangle,grey,2,yellow,3,square,grey,3,yellow,3,pic3_empty_restrictor.svg,Trial
ESQ,3,2,10,every,empty_scope,4.0,6.0,heart,灰色,,每颗心都是灰色的吗？,不对,2,right,triangle,grey,2,yellow,3,heart,grey,0,yellow,6,pic3_empty_scope.svg,Trial
ESQ,3,3,11,every,small_control,4.0,6.0,heart,灰色,,每颗心都是灰色的吗？,不对,3,right,triangle,grey,2,yellow,3,heart,grey,2,yellow,4,pic3_small_control.svg,Trial
ESQ,3,4,12,every,large_control,4.0,6.0,heart,灰色,,每颗心都是灰色的吗？,对的,4,right,triangle,grey,2,yellow,3,heart,grey,6,yellow,0,pic3_large_control.svg,Trial
ESQ,3,1,13,no,empty_restrictor,4.0,6.0,heart,灰色,,心脏不是灰色的吗？,有趣的问题,2,right,triangle,grey,2,yellow,3,square,grey,3,yellow,3,pic3_empty_restrictor.svg,Trial
ESQ,3,2,14,no,empty_scope,4.0,6.0,heart,灰色,,心脏不是灰色的吗？,对的,3,right,triangle,grey,2,yellow,3,heart,grey,0,yellow,6,pic3_empty_scope.svg,Trial
ESQ,3,3,15,no,small_control,4.0,6.0,heart,灰色,,心脏不是灰色的吗？,不对,4,right,triangle,grey,2,yellow,3,heart,grey,2,yellow,4,pic3_small_control.svg,Trial
ESQ,3,4,16,no,large_control,4.0,6.0,heart,灰色,,心脏不是灰色的吗？,不对,1,right,triangle,grey,2,yellow,3,heart,grey,6,yellow,0,pic3_large_control.svg,Trial
ESQ,4,1,1,less,empty_restrictor,4.0,7.0,cross,棕色,,棕色的十字架是否少于四个？,有趣的问题,4,right,square,brown,1,green,5,heart,brown,3,green,4,pic4_empty_restrictor.svg,Trial
ESQ,4,2,2,less,empty_scope,4.0,7.0,cross,棕色,,棕色的十字架是否少于四个？,对的,1,right,square,brown,1,green,5,cross,brown,0,green,7,pic4_empty_scope.svg,Trial
ESQ,4,3,3,less,small_control,4.0,7.0,cross,棕色,,棕色的十字架是否少于四个？,对的,2,right,square,brown,1,green,5,cross,brown,2,green,5,pic4_small_control.svg,Trial
ESQ,4,4,4,less,large_control,4.0,7.0,cross,棕色,,棕色的十字架是否少于四个？,不对,3,right,square,brown,1,green,5,cross,brown,7,green,0,pic4_large_control.svg,Trial
ESQ,4,1,5,more,empty_restrictor,4.0,7.0,cross,棕色,,是否超过四个十字架是棕色的？,有趣的问题,1,right,square,brown,1,green,5,heart,brown,3,green,4,pic4_empty_restrictor.svg,Trial
ESQ,4,2,6,more,empty_scope,4.0,7.0,cross,棕色,,是否超过四个十字架是棕色的？,不对,2,right,square,brown,1,green,5,cross,brown,0,green,7,pic4_empty_scope.svg,Trial
ESQ,4,3,7,more,small_control,4.0,7.0,cross,棕色,,是否超过四个十字架是棕色的？,不对,3,right,square,brown,1,green,5,cross,brown,2,green,5,pic4_small_control.svg,Trial
ESQ,4,4,8,more,large_control,4.0,7.0,cross,棕色,,是否超过四个十字架是棕色的？,对的,4,right,square,brown,1,green,5,cross,brown,7,green,0,pic4_large_control.svg,Trial
ESQ,4,1,9,every,empty_restrictor,4.0,7.0,cross,棕色,,每个十字架都是棕色的吗？,有趣的问题,2,right,square,brown,1,green,5,heart,brown,3,green,4,pic4_empty_restrictor.svg,Trial
ESQ,4,2,10,every,empty_scope,4.0,7.0,cross,棕色,,每个十字架都是棕色的吗？,不对,3,right,square,brown,1,green,5,cross,brown,0,green,7,pic4_empty_scope.svg,Trial
ESQ,4,3,11,every,small_control,4.0,7.0,cross,棕色,,每个十字架都是棕色的吗？,不对,4,right,square,brown,1,green,5,cross,brown,2,green,5,pic4_small_control.svg,Trial
ESQ,4,4,12,every,large_control,4.0,7.0,cross,棕色,,每个十字架都是棕色的吗？,对的,1,right,square,brown,1,green,5,cross,brown,7,green,0,pic4_large_control.svg,Trial
ESQ,4,1,13,no,empty_restrictor,4.0,7.0,cross,棕色,,不是十字棕色的吗？,有趣的问题,3,right,square,brown,1,green,5,heart,brown,3,green,4,pic4_empty_restrictor.svg,Trial
ESQ,4,2,14,no,empty_scope,4.0,7.0,cross,棕色,,不是十字棕色的吗？,对的,4,right,square,brown,1,green,5,cross,brown,0,green,7,pic4_empty_scope.svg,Trial
ESQ,4,3,15,no,small_control,4.0,7.0,cross,棕色,,不是十字棕色的吗？,不对,1,right,square,brown,1,green,5,cross,brown,2,green,5,pic4_small_control.svg,Trial
ESQ,4,4,16,no,large_control,4.0,7.0,cross,棕色,,不是十字棕色的吗？,不对,2,right,square,brown,1,green,5,cross,brown,7,green,0,pic4_large_control.svg,Trial
ESQ,5,1,1,less,empty_restrictor,3.0,6.0,triangle,紫罗兰色,,紫色三角形是不是少于三个？,有趣的问题,1,right,cross,purple,5,red,3,circle,purple,3,red,3,pic5_empty_restrictor.svg,Trial
ESQ,5,2,2,less,empty_scope,3.0,6.0,triangle,紫罗兰色,,紫色三角形是不是少于三个？,对的,2,right,cross,purple,5,red,3,triangle,purple,0,red,6,pic5_empty_scope.svg,Trial
ESQ,5,3,3,less,small_control,3.0,6.0,triangle,紫罗兰色,,紫色三角形是不是少于三个？,对的,3,right,cross,purple,5,red,3,triangle,purple,1,red,5,pic5_small_control.svg,Trial
ESQ,5,4,4,less,large_control,3.0,6.0,triangle,紫罗兰色,,紫色三角形是不是少于三个？,不对,4,right,cross,purple,5,red,3,triangle,purple,6,red,0,pic5_large_control.svg,Trial
ESQ,5,1,5,more,empty_restrictor,3.0,6.0,triangle,紫罗兰色,,三个以上的三角形是紫色的吗？,有趣的问题,2,right,cross,purple,5,red,3,circle,purple,3,red,3,pic5_empty_restrictor.svg,Trial
ESQ,5,2,6,more,empty_scope,3.0,6.0,triangle,紫罗兰色,,三个以上的三角形是紫色的吗？,不对,3,right,cross,purple,5,red,3,triangle,purple,0,red,6,pic5_empty_scope.svg,Trial
ESQ,5,3,7,more,small_control,3.0,6.0,triangle,紫罗兰色,,三个以上的三角形是紫色的吗？,不对,4,right,cross,purple,5,red,3,triangle,purple,1,red,5,pic5_small_control.svg,Trial
ESQ,5,4,8,more,large_control,3.0,6.0,triangle,紫罗兰色,,三个以上的三角形是紫色的吗？,对的,1,right,cross,purple,5,red,3,triangle,purple,6,red,0,pic5_large_control.svg,Trial
ESQ,5,1,9,every,empty_restrictor,3.0,6.0,triangle,紫罗兰色,,每个三角形都是紫色的吗？,有趣的问题,3,right,cross,purple,5,red,3,circle,purple,3,red,3,pic5_empty_restrictor.svg,Trial
ESQ,5,2,10,every,empty_scope,3.0,6.0,triangle,紫罗兰色,,每个三角形都是紫色的吗？,不对,4,right,cross,purple,5,red,3,triangle,purple,0,red,6,pic5_empty_scope.svg,Trial
ESQ,5,3,11,every,small_control,3.0,6.0,triangle,紫罗兰色,,每个三角形都是紫色的吗？,不对,1,right,cross,purple,5,red,3,triangle,purple,1,red,5,pic5_small_control.svg,Trial
ESQ,5,4,12,every,large_control,3.0,6.0,triangle,紫罗兰色,,每个三角形都是紫色的吗？,对的,2,right,cross,purple,5,red,3,triangle,purple,6,red,0,pic5_large_control.svg,Trial
ESQ,5,1,13,no,empty_restrictor,3.0,6.0,triangle,紫罗兰色,,三角形不是紫色的吗？,有趣的问题,4,right,cross,purple,5,red,3,circle,purple,3,red,3,pic5_empty_restrictor.svg,Trial
ESQ,5,2,14,no,empty_scope,3.0,6.0,triangle,紫罗兰色,,三角形不是紫色的吗？,对的,1,right,cross,purple,5,red,3,triangle,purple,0,red,6,pic5_empty_scope.svg,Trial
ESQ,5,3,15,no,small_control,3.0,6.0,triangle,紫罗兰色,,三角形不是紫色的吗？,不对,2,right,cross,purple,5,red,3,triangle,purple,1,red,5,pic5_small_control.svg,Trial
ESQ,5,4,16,no,large_control,3.0,6.0,triangle,紫罗兰色,,三角形不是紫色的吗？,不对,3,right,cross,purple,5,red,3,triangle,purple,6,red,0,pic5_large_control.svg,Trial
ESQ,6,1,1,less,empty_restrictor,3.0,5.0,heart,蓝绿色,,绿松石色的心是否少于三颗？,有趣的问题,2,right,circle,turquoise,2,red,4,cross,turquoise,3,red,2,pic6_empty_restrictor.svg,Trial
ESQ,6,2,2,less,empty_scope,3.0,5.0,heart,蓝绿色,,绿松石色的心是否少于三颗？,对的,3,right,circle,turquoise,2,red,4,heart,turquoise,0,red,5,pic6_empty_scope.svg,Trial
ESQ,6,3,3,less,small_control,3.0,5.0,heart,蓝绿色,,绿松石色的心是否少于三颗？,对的,4,right,circle,turquoise,2,red,4,heart,turquoise,1,red,4,pic6_small_control.svg,Trial
ESQ,6,4,4,less,large_control,3.0,5.0,heart,蓝绿色,,绿松石色的心是否少于三颗？,不对,1,right,circle,turquoise,2,red,4,heart,turquoise,5,red,0,pic6_large_control.svg,Trial
ESQ,6,1,5,more,empty_restrictor,3.0,5.0,heart,蓝绿色,,三颗以上的心是绿松石色的吗？,有趣的问题,3,right,circle,turquoise,2,red,4,cross,turquoise,3,red,2,pic6_empty_restrictor.svg,Trial
ESQ,6,2,6,more,empty_scope,3.0,5.0,heart,蓝绿色,,三颗以上的心是绿松石色的吗？,不对,4,right,circle,turquoise,2,red,4,heart,turquoise,0,red,5,pic6_empty_scope.svg,Trial
ESQ,6,3,7,more,small_control,3.0,5.0,heart,蓝绿色,,三颗以上的心是绿松石色的吗？,不对,1,right,circle,turquoise,2,red,4,heart,turquoise,1,red,4,pic6_small_control.svg,Trial
ESQ,6,4,8,more,large_control,3.0,5.0,heart,蓝绿色,,三颗以上的心是绿松石色的吗？,对的,2,right,circle,turquoise,2,red,4,heart,turquoise,5,red,0,pic6_large_control.svg,Trial
ESQ,6,1,9,every,empty_restrictor,3.0,5.0,heart,蓝绿色,,每一颗心都是绿松石吗？,有趣的问题,4,right,circle,turquoise,2,red,4,cross,turquoise,3,red,2,pic6_empty_restrictor.svg,Trial
ESQ,6,2,10,every,empty_scope,3.0,5.0,heart,蓝绿色,,每一颗心都是绿松石吗？,不对,1,right,circle,turquoise,2,red,4,heart,turquoise,0,red,5,pic6_empty_scope.svg,Trial
ESQ,6,3,11,every,small_control,3.0,5.0,heart,蓝绿色,,每一颗心都是绿松石吗？,不对,2,right,circle,turquoise,2,red,4,heart,turquoise,1,red,4,pic6_small_control.svg,Trial
ESQ,6,4,12,every,large_control,3.0,5.0,heart,蓝绿色,,每一颗心都是绿松石吗？,对的,3,right,circle,turquoise,2,red,4,heart,turquoise,5,red,0,pic6_large_control.svg,Trial
ESQ,6,1,13,no,empty_restrictor,3.0,5.0,heart,蓝绿色,,这不是蓝绿色的心吗？,有趣的问题,1,right,circle,turquoise,2,red,4,cross,turquoise,3,red,2,pic6_empty_restrictor.svg,Trial
ESQ,6,2,14,no,empty_scope,3.0,5.0,heart,蓝绿色,,这不是蓝绿色的心吗？,对的,2,right,circle,turquoise,2,red,4,heart,turquoise,0,red,5,pic6_empty_scope.svg,Trial
ESQ,6,3,15,no,small_control,3.0,5.0,heart,蓝绿色,,这不是蓝绿色的心吗？,不对,3,right,circle,turquoise,2,red,4,heart,turquoise,1,red,4,pic6_small_control.svg,Trial
ESQ,6,4,16,no,large_control,3.0,5.0,heart,蓝绿色,,这不是蓝绿色的心吗？,不对,4,right,circle,turquoise,2,red,4,heart,turquoise,5,red,0,pic6_large_control.svg,Trial
ESQ,7,1,1,less,empty_restrictor,4.0,6.0,square,Black,,小于四个方块是黑色的吗？,有趣的问题,3,right,heart,orange,3,black,1,triangle,orange,3,black,3,pic7_empty_restrictor.svg,Trial
ESQ,7,2,2,less,empty_scope,4.0,6.0,square,Black,,小于四个方块是黑色的吗？,对的,4,right,heart,orange,3,black,1,square,orange,0,black,6,pic7_empty_scope.svg,Trial
ESQ,7,3,3,less,small_control,4.0,6.0,square,Black,,小于四个方块是黑色的吗？,对的,1,right,heart,orange,3,black,1,square,orange,2,black,4,pic7_small_control.svg,Trial
ESQ,7,4,4,less,large_control,4.0,6.0,square,Black,,小于四个方块是黑色的吗？,不对,2,right,heart,orange,3,black,1,square,orange,6,black,0,pic7_large_control.svg,Trial
ESQ,7,1,5,more,empty_restrictor,4.0,6.0,square,Black,,超过四个方块是黑色的吗？,有趣的问题,4,right,heart,orange,3,black,1,triangle,orange,3,black,3,pic7_empty_restrictor.svg,Trial
ESQ,7,2,6,more,empty_scope,4.0,6.0,square,Black,,超过四个方块是黑色的吗？,不对,1,right,heart,orange,3,black,1,square,orange,0,black,6,pic7_empty_scope.svg,Trial
ESQ,7,3,7,more,small_control,4.0,6.0,square,Black,,超过四个方块是黑色的吗？,不对,2,right,heart,orange,3,black,1,square,orange,2,black,4,pic7_small_control.svg,Trial
ESQ,7,4,8,more,large_control,4.0,6.0,square,Black,,超过四个方块是黑色的吗？,对的,3,right,heart,orange,3,black,1,square,orange,6,black,0,pic7_large_control.svg,Trial
ESQ,7,1,9,every,empty_restrictor,4.0,6.0,square,Black,,每个方块都是黑色的吗？,有趣的问题,1,right,heart,orange,3,black,1,triangle,orange,3,black,3,pic7_empty_restrictor.svg,Trial
ESQ,7,2,10,every,empty_scope,4.0,6.0,square,Black,,每个方块都是黑色的吗？,不对,2,right,heart,orange,3,black,1,square,orange,0,black,6,pic7_empty_scope.svg,Trial
ESQ,7,3,11,every,small_control,4.0,6.0,square,Black,,每个方块都是黑色的吗？,不对,3,right,heart,orange,3,black,1,square,orange,2,black,4,pic7_small_control.svg,Trial
ESQ,7,4,12,every,large_control,4.0,6.0,square,Black,,每个方块都是黑色的吗？,对的,4,right,heart,orange,3,black,1,square,orange,6,black,0,pic7_large_control.svg,Trial
ESQ,7,1,13,no,empty_restrictor,4.0,6.0,square,Black,,不是黑色方块吗？,有趣的问题,2,right,heart,orange,3,black,1,triangle,orange,3,black,3,pic7_empty_restrictor.svg,Trial
ESQ,7,2,14,no,empty_scope,4.0,6.0,square,Black,,不是黑色方块吗？,对的,3,right,heart,orange,3,black,1,square,orange,0,black,6,pic7_empty_scope.svg,Trial
ESQ,7,3,15,no,small_control,4.0,6.0,square,Black,,不是黑色方块吗？,不对,4,right,heart,orange,3,black,1,square,orange,2,black,4,pic7_small_control.svg,Trial
ESQ,7,4,16,no,large_control,4.0,6.0,square,Black,,不是黑色方块吗？,不对,1,right,heart,orange,3,black,1,square,orange,6,black,0,pic7_large_control.svg,Trial
ESQ,8,1,1,less,empty_restrictor,3.0,5.0,circle,灰色,,是否少于三个灰色圆圈？,有趣的问题,4,right,triangle,grey,4,blue,4,cross,grey,3,blue,2,pic8_empty_restrictor.svg,Trial
ESQ,8,2,2,less,empty_scope,3.0,5.0,circle,灰色,,是否少于三个灰色圆圈？,对的,1,right,triangle,grey,4,blue,4,circle,grey,0,blue,5,pic8_empty_scope.svg,Trial
ESQ,8,3,3,less,small_control,3.0,5.0,circle,灰色,,是否少于三个灰色圆圈？,对的,2,right,triangle,grey,4,blue,4,circle,grey,2,blue,3,pic8_small_control.svg,Trial
ESQ,8,4,4,less,large_control,3.0,5.0,circle,灰色,,是否少于三个灰色圆圈？,不对,3,right,triangle,grey,4,blue,4,circle,grey,5,blue,0,pic8_large_control.svg,Trial
ESQ,8,1,5,more,empty_restrictor,3.0,5.0,circle,灰色,,是否有三个以上的灰色圆圈？,有趣的问题,1,right,triangle,grey,4,blue,4,cross,grey,3,blue,2,pic8_empty_restrictor.svg,Trial
ESQ,8,2,6,more,empty_scope,3.0,5.0,circle,灰色,,是否有三个以上的灰色圆圈？,不对,2,right,triangle,grey,4,blue,4,circle,grey,0,blue,5,pic8_empty_scope.svg,Trial
ESQ,8,3,7,more,small_control,3.0,5.0,circle,灰色,,是否有三个以上的灰色圆圈？,不对,3,right,triangle,grey,4,blue,4,circle,grey,2,blue,3,pic8_small_control.svg,Trial
ESQ,8,4,8,more,large_control,3.0,5.0,circle,灰色,,是否有三个以上的灰色圆圈？,对的,4,right,triangle,grey,4,blue,4,circle,grey,5,blue,0,pic8_large_control.svg,Trial
ESQ,8,1,9,every,empty_restrictor,3.0,5.0,circle,灰色,,每个圆圈都是灰色的吗？,有趣的问题,2,right,triangle,grey,4,blue,4,cross,grey,3,blue,2,pic8_empty_restrictor.svg,Trial
ESQ,8,2,10,every,empty_scope,3.0,5.0,circle,灰色,,每个圆圈都是灰色的吗？,不对,3,right,triangle,grey,4,blue,4,circle,grey,0,blue,5,pic8_empty_scope.svg,Trial
ESQ,8,3,11,every,small_control,3.0,5.0,circle,灰色,,每个圆圈都是灰色的吗？,不对,4,right,triangle,grey,4,blue,4,circle,grey,2,blue,3,pic8_small_control.svg,Trial
ESQ,8,4,12,every,large_control,3.0,5.0,circle,灰色,,每个圆圈都是灰色的吗？,对的,1,right,triangle,grey,4,blue,4,circle,grey,5,blue,0,pic8_large_control.svg,Trial
ESQ,8,1,13,no,empty_restrictor,3.0,5.0,circle,灰色,,圆不是灰色的吗？,有趣的问题,3,right,triangle,grey,4,blue,4,cross,grey,3,blue,2,pic8_empty_restrictor.svg,Trial
ESQ,8,2,14,no,empty_scope,3.0,5.0,circle,灰色,,圆不是灰色的吗？,对的,4,right,triangle,grey,4,blue,4,circle,grey,0,blue,5,pic8_empty_scope.svg,Trial
ESQ,8,3,15,no,small_control,3.0,5.0,circle,灰色,,圆不是灰色的吗？,不对,1,right,triangle,grey,4,blue,4,circle,grey,2,blue,3,pic8_small_control.svg,Trial
ESQ,8,4,16,no,large_control,3.0,5.0,circle,灰色,,圆不是灰色的吗？,不对,2,right,triangle,grey,4,blue,4,circle,grey,5,blue,0,pic8_large_control.svg,Trial
ESQ,9,1,1,less,empty_restrictor,4.0,7.0,triangle,紅色,,红色三角形是否少于四个？,有趣的问题,1,right,square,red,5,purple,2,circle,red,3,purple,4,pic9_empty_restrictor.svg,Trial
ESQ,9,2,2,less,empty_scope,4.0,7.0,triangle,紅色,,红色三角形是否少于四个？,对的,2,right,square,red,5,purple,2,triangle,red,0,purple,7,pic9_empty_scope.svg,Trial
ESQ,9,3,3,less,small_control,4.0,7.0,triangle,紅色,,红色三角形是否少于四个？,对的,3,right,square,red,5,purple,2,triangle,red,1,purple,6,pic9_small_control.svg,Trial
ESQ,9,4,4,less,large_control,4.0,7.0,triangle,紅色,,红色三角形是否少于四个？,不对,4,right,square,red,5,purple,2,triangle,red,7,purple,0,pic9_large_control.svg,Trial
ESQ,9,1,5,more,empty_restrictor,4.0,7.0,triangle,紅色,,是否超过四个三角形是红色的？,有趣的问题,2,right,square,red,5,purple,2,circle,red,3,purple,4,pic9_empty_restrictor.svg,Trial
ESQ,9,2,6,more,empty_scope,4.0,7.0,triangle,紅色,,是否超过四个三角形是红色的？,不对,3,right,square,red,5,purple,2,triangle,red,0,purple,7,pic9_empty_scope.svg,Trial
ESQ,9,3,7,more,small_control,4.0,7.0,triangle,紅色,,是否超过四个三角形是红色的？,不对,4,right,square,red,5,purple,2,triangle,red,1,purple,6,pic9_small_control.svg,Trial
ESQ,9,4,8,more,large_control,4.0,7.0,triangle,紅色,,是否超过四个三角形是红色的？,对的,1,right,square,red,5,purple,2,triangle,red,7,purple,0,pic9_large_control.svg,Trial
