id,experiment,item,condition,quantifier,scenario,sentence,n_quantifier,n_target_objects,response_order,ordered_responses,pictureRT,response,expected_response,image_error,time out,read_time,list
65b4a0c89f9c7,ES_Q,2,13,no,empty_restrictor,Ist kein Kreis orange?,4,7,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1439,37,komische frage,False,0,[1251],1
65b4a0c89f9c7,SI,318,2,einige,einige_all,Sind einige der Dreiecke grau?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1383,39,"ja, stimmt",False,0,[2841],1
65b4a0c89f9c7,SI,306,2,einige,einige_all,Sind einige der Kreise orange?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1607,39,"ja, stimmt",False,0,[987],1
65b4a0c89f9c7,FC,102,3,every,true_control_target_left,Ist jedes Quadrat entweder grün oder orange?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1192,39,"ja, stimmt",False,0,[1238],1
65b4a0c89f9c7,FC,101,4,every,false_control_target_left,Ist jedes Dreieck entweder blau oder rot?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1796,40,"nein, stimmt nicht",False,0,[1196],1
65b4a0c89f9c7,SI,320,1,einige,einige_some_but_not_all,Sind einige der Dreiecke türkis?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1885,39,"ja, stimmt",False,0,[1280],1
65b4a0c89f9c7,Homogeneity,219,2,NA,no_scenario,Sind die Kreuze türkis?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1225,40,"nein, stimmt nicht",False,0,[850],1
65b4a0c89f9c7,FC,102,8,every,false_control_target_right,Ist jedes Quadrat entweder orange oder grün?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",2193,40,"nein, stimmt nicht",False,0,[1009],1
65b4a0c89f9c7,SI,313,1,einige,einige_some_but_not_all,Sind einige der Herzen gelb?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",2151,39,"ja, stimmt",False,0,[4079],1
65b4a0c89f9c7,FC,104,2,every,target_target_left,Ist jedes Kreuz entweder schwarz oder pink?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1997,40,"ja, stimmt",False,0,[2243],1
65b4a0c89f9c7,FC,105,5,every,psp_violation_target_right,Ist jeder Kreis entweder schwarz oder grau?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1496,39,komische frage,False,0,[6068],1
65b4a0c89f9c7,ES_Q,13,8,more,large_control,Sind mehr als drei Dreiecke schwarz?,3,5,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1138,39,"ja, stimmt",False,0,[3164],1
65b4a0c89f9c7,FC,104,6,every,target_target_right,Ist jedes Kreuz entweder pink oder schwarz?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1121,39,"ja, stimmt",False,0,[5651],1
65b4a0c89f9c7,ES_Q,4,12,every,large_control,Ist jedes Kreuz braun?,4,7,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",843,39,"ja, stimmt",False,0,[2441],1
65b4a0c89f9c7,Homogeneity,231,2,NA,no_scenario,Sind die Herzen blau?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1804,40,"nein, stimmt nicht",False,0,[784],1
65b4a0c89f9c7,Homogeneity,221,1,NA,psp_failure,Sind die Kreuze blau?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",2006,37,komische frage,False,0,[800],1
65b4a0c89f9c7,Homogeneity,212,4,NA,all_scenario,Sind die Kreise rot?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1722,39,"ja, stimmt",False,0,[1660],1
65b4a0c89f9c7,Homogeneity,239,2,NA,no_scenario,Sind die Dreiecke türkis?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",2081,40,"nein, stimmt nicht",False,0,[715],1
65b4a0c89f9c7,ES_Q,16,2,less,empty_scope,Sind weniger als vier Herzen grün?,4,7,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",2168,37,"ja, stimmt",False,0,[1574],1
65b4a0c89f9c7,Homogeneity,226,3,NA,homogeneity,Sind die Herzen grau?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",5197,40,"ja, stimmt",False,0,[3501],1
65b4a0c89f9c7,SI,303,2,einige,einige_all,Sind einige der Quadrate gelb?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1653,39,"ja, stimmt",False,0,[1718],1
65b4a0c89f9c7,Homogeneity,208,4,NA,all_scenario,Sind die Quadrate lila?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1161,39,"ja, stimmt",False,0,[777],1
65b4a0c89f9c7,ES_Q,9,11,every,small_control,Ist jedes Dreieck rot?,4,7,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1622,40,"nein, stimmt nicht",False,0,[1157],1
65b4a0c89f9c7,ES_Q,1,8,more,large_control,Sind mehr als drei Quadrate blau?,3,5,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",2309,39,"ja, stimmt",False,0,[1956],1
65b4a0c89f9c7,ES_Q,14,7,more,small_control,Sind mehr als vier Kreuze pink?,4,7,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",2301,40,"nein, stimmt nicht",False,0,[755],1
65b4a0c89f9c7,ES_Q,18,4,less,large_control,Sind weniger als vier Quadrate orange?,4,7,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",3177,39,"nein, stimmt nicht",False,0,[1180],1
65b4a0c89f9c7,ES_Q,20,15,no,small_control,Ist kein Herz pink?,3,5,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",4380,40,"nein, stimmt nicht",False,0,[669],1
65b4a0c89f9c7,ES_Q,2,4,less,large_control,Sind weniger als vier Kreise orange?,4,7,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1955,40,"nein, stimmt nicht",False,0,[1437],1
65b4a0c89f9c7,FC,105,2,every,target_target_left,Ist jeder Kreis entweder grau oder schwarz?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1354,39,"ja, stimmt",False,0,[1355],1
65b4a0c89f9c7,Filler,1003,10,def_sing,psp_failure_definite_filler,Ist das Dreieck blau?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1593,37,komische frage,False,0,[1041],5
65b4a0c89f9c7,FC,108,8,every,false_control_target_right,Ist jedes Herz entweder schwarz oder gelb?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",4788,40,"nein, stimmt nicht",False,0,[2603],1
65b4a0c89f9c7,ES_Q,18,7,more,small_control,Sind mehr als vier Quadrate orange?,4,7,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",961,39,"nein, stimmt nicht",False,0,[1971],1
65b4a0c89f9c7,FC,104,1,every,psp_violation_target_left,Ist jedes Kreuz entweder schwarz oder pink?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1983,37,komische frage,False,0,[2672],1
65b4a0c89f9c7,Homogeneity,203,2,NA,no_scenario,Sind die Quadrate gelb?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1743,40,"nein, stimmt nicht",False,0,[819],1
65b4a0c89f9c7,ES_Q,16,12,every,large_control,Ist jedes Herz grün?,4,7,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",687,39,"ja, stimmt",False,0,[825],1
65b4a0c89f9c7,Homogeneity,218,3,NA,homogeneity,Sind die Kreuze lila?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",2139,40,"ja, stimmt",False,0,[671],1
65b4a0c89f9c7,Homogeneity,225,1,NA,psp_failure,Sind die Herzen braun?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1297,37,komische frage,False,0,[1206],1
65b4a0c89f9c7,ES_Q,13,1,less,empty_restrictor,Sind weniger als drei Dreiecke schwarz?,3,5,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1336,37,komische frage,False,0,[2220],1
65b4a0c89f9c7,SI,308,1,einige,einige_some_but_not_all,Sind einige der Kreise grau?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",894,39,"ja, stimmt",False,0,[918],1
65b4a0c89f9c7,Homogeneity,201,1,NA,psp_failure,Sind die Quadrate blau?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1275,37,komische frage,False,0,[703],1
65b4a0c89f9c7,ES_Q,1,14,no,empty_scope,Ist kein Quadrat blau?,3,5,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",3330,39,"ja, stimmt",False,0,[568],1
65b4a0c89f9c7,Filler,1014,10,both,psp_failure_both,Sind beide Dreiecke blau?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",4797,37,komische frage,False,0,[888],5
65b4a0c89f9c7,Homogeneity,217,1,NA,psp_failure,Sind die Kreuze schwarz?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1651,37,komische frage,False,0,[772],1
65b4a0c89f9c7,Homogeneity,202,3,NA,homogeneity,Sind die Quadrate rot?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",4034,40,"ja, stimmt",False,0,[553],1
65b4a0c89f9c7,ES_Q,12,2,less,empty_scope,Sind weniger als vier Kreuze grau?,4,6,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",5076,39,"ja, stimmt",False,0,[1328],1
65b4a0c89f9c7,FC,106,4,every,false_control_target_left,Ist jedes Dreieck entweder blau oder gelb?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",5511,39,"nein, stimmt nicht",False,0,[1727],1
65b4a0c89f9c7,Homogeneity,222,3,NA,homogeneity,Sind die Kreuze rot?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",2873,40,"ja, stimmt",False,0,[871],1
65b4a0c89f9c7,Homogeneity,213,1,NA,psp_failure,Sind die Kreise gelb?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1958,37,komische frage,False,0,[921],1
65b4a0c89f9c7,Filler,1009,10,def_sing,psp_failure_definite_filler,Ist das Kreuz rot?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1175,40,komische frage,False,0,[691],5
65b4a0c89f9c7,ES_Q,12,15,no,small_control,Ist kein Kreuz grau?,4,6,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",4293,40,"nein, stimmt nicht",False,0,[3058],1
65b4a0c89f9c7,FC,107,7,every,true_control_target_right,Ist jedes Quadrat entweder grün oder gelb?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",2765,39,"ja, stimmt",False,0,[1958],1
65b4a0c89f9c7,FC,109,1,every,psp_violation_target_left,Ist jedes Kreuz entweder grau oder lila?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",2562,39,komische frage,False,0,[2207],1
65b4a0c89f9c7,Up_to,407,2,at_most,at_most_zero,Sind höchstens vier Kreise grau?,vier,8,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",2361,39,"ja, stimmt",False,0,[835],1
65b4a0c89f9c7,Homogeneity,214,3,NA,homogeneity,Sind die Kreise grün?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1455,40,"ja, stimmt",False,0,[700],1
65b4a0c89f9c7,ES_Q,6,7,more,small_control,Sind mehr als drei Herzen türkis?,3,5,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1466,40,"nein, stimmt nicht",False,0,[1111],1
65b4a0c89f9c7,FC,106,5,every,psp_violation_target_right,Ist jedes Dreieck entweder gelb oder blau?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1050,37,komische frage,False,0,[4786],1
65b4a0c89f9c7,ES_Q,10,13,no,empty_restrictor,Ist kein Kreis türkis?,3,5,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",2859,37,komische frage,False,0,[852],1
65b4a0c89f9c7,ES_Q,11,16,no,large_control,Ist kein Kreis gelb?,3,5,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1266,40,"nein, stimmt nicht",False,0,[784],1
65b4a0c89f9c7,Homogeneity,228,4,NA,all_scenario,Sind die Herzen lila?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1505,39,"ja, stimmt",False,0,[738],1
65b4a0c89f9c7,FC,106,6,every,target_target_right,Ist jedes Dreieck entweder gelb oder blau?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1214,39,"ja, stimmt",False,0,[1727],1
65b4a0c89f9c7,ES_Q,1,11,every,small_control,Ist jedes Quadrat blau?,3,5,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1535,40,"nein, stimmt nicht",False,0,[780],1
65b4a0c89f9c7,ES_Q,11,9,every,empty_restrictor,Ist jeder Kreis gelb?,3,5,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1552,37,komische frage,False,0,[807],1
65b4a0c89f9c7,Homogeneity,232,4,NA,all_scenario,Sind die Herzen rot?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1112,39,"ja, stimmt",False,0,[699],1
65b4a0c89f9c7,Homogeneity,238,3,NA,homogeneity,Sind die Dreiecke lila?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1123,40,"ja, stimmt",False,0,[560],1
65b4a0c89f9c7,FC,110,2,every,target_target_left,Ist jeder Kreis entweder gelb oder rot?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",2288,39,"ja, stimmt",False,0,[1650],1
65b4a0c89f9c7,ES_Q,13,14,no,empty_scope,Ist kein Dreieck schwarz?,3,5,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",943,39,"ja, stimmt",False,0,[612],1
65b4a0c89f9c7,Filler,1011,10,both,psp_failure_both,Sind beide Quadrate rot?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",3106,37,komische frage,False,0,[565],5
65b4a0c89f9c7,SI,309,1,einige,einige_some_but_not_all,Sind einige der Kreuze lila?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1261,39,"ja, stimmt",False,0,[597],1
65b4a0c89f9c7,FC,102,2,every,target_target_left,Ist jedes Quadrat entweder grün oder orange?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1346,39,"ja, stimmt",False,0,[1220],1
65b4a0c89f9c7,Homogeneity,215,2,NA,no_scenario,Sind die Kreise braun?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",3710,40,"nein, stimmt nicht",False,0,[608],1
65b4a0c89f9c7,Homogeneity,227,2,NA,no_scenario,Sind die Herzen schwarz?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1434,40,"nein, stimmt nicht",False,0,[582],1
65b4a0c89f9c7,FC,101,6,every,target_target_right,Ist jedes Dreieck entweder rot oder blau?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1839,39,"ja, stimmt",False,0,[2479],1
65b4a0c89f9c7,ES_Q,2,10,every,empty_scope,Ist jeder Kreis orange?,4,7,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1453,40,"nein, stimmt nicht",False,0,[631],1
65b4a0c89f9c7,ES_Q,13,11,every,small_control,Ist jedes Dreieck schwarz?,3,5,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",4943,40,"nein, stimmt nicht",False,0,[630],1
65b4a0c89f9c7,ES_Q,5,1,less,empty_restrictor,Sind weniger als drei Dreiecke lila?,3,6,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",2083,37,komische frage,False,0,[1769],1
65b4a0c89f9c7,Homogeneity,224,4,NA,all_scenario,Sind die Kreuze grün?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1215,39,"ja, stimmt",False,0,[713],1
65b4a0c89f9c7,SI,312,1,einige,einige_some_but_not_all,Sind einige der Kreuze blau?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1367,39,"ja, stimmt",False,0,[938],1
65b4a0c89f9c7,Up_to,402,2,at_most,at_most_zero,Sind höchstens vier Kreise rot?,vier,6,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",4365,39,"ja, stimmt",False,0,[791],1
65b4a0c89f9c7,ES_Q,10,7,more,small_control,Sind mehr als drei Kreise türkis?,3,5,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1238,37,"nein, stimmt nicht",False,0,[5665],1
65b4a0c89f9c7,SI,319,2,einige,einige_all,Sind einige der Dreiecke lila?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1272,39,"ja, stimmt",False,0,[679],1
65b4a0c89f9c7,FC,108,5,every,psp_violation_target_right,Ist jedes Herz entweder schwarz oder gelb?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1426,37,komische frage,False,0,[3194],1
65b4a0c89f9c7,Up_to,405,1,up_to,up_to_zero,Sind bis zu drei Herzen lila?,drei,7,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",5424,40,"nein, stimmt nicht",False,0,[639],1
65b4a0c89f9c7,Up_to,406,2,at_most,at_most_zero,Sind höchstens drei Dreiecke braun?,drei,4,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",6691,39,"ja, stimmt",False,0,[1073],1
65b4a0c89f9c7,ES_Q,3,3,less,small_control,Sind weniger als vier Herzen grau?,4,6,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",6233,39,"ja, stimmt",False,0,[2686],1
65b4a0c89f9c7,ES_Q,2,7,more,small_control,Sind mehr als vier Kreise orange?,4,7,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",2519,40,"nein, stimmt nicht",False,0,[641],1
65b4a0c89f9c7,Filler,1004,10,def_sing,psp_failure_definite_filler,Ist das Kreuz braun?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1402,37,komische frage,False,0,[698],5
65b4a0c89f9c7,Filler,1006,10,def_sing,psp_failure_definite_filler,Ist das Quadrat blau?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1274,39,komische frage,False,0,[566],5
65b4a0c89f9c7,SI,316,1,einige,einige_some_but_not_all,Sind einige der Herzen orange?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",2360,39,"ja, stimmt",False,0,[490],1
65b4a0c89f9c7,ES_Q,15,3,less,small_control,Sind weniger als drei Dreiecke blau?,3,5,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1539,39,"ja, stimmt",False,0,[484],1
65b4a0c89f9c7,ES_Q,8,5,more,empty_restrictor,Sind mehr als drei Kreise grau?,3,5,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",823,37,komische frage,False,0,[751],1
65b4a0c89f9c7,FC,109,4,every,false_control_target_left,Ist jedes Kreuz entweder grau oder lila?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",3517,40,"nein, stimmt nicht",False,0,[1534],1
65b4a0c89f9c7,Homogeneity,223,2,NA,no_scenario,Sind die Kreuze gelb?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1298,40,"nein, stimmt nicht",False,0,[815],1
65b4a0c89f9c7,FC,105,3,every,true_control_target_left,Ist jeder Kreis entweder grau oder schwarz?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",2449,39,"ja, stimmt",False,0,[1604],1
65b4a0c89f9c7,Homogeneity,207,2,NA,no_scenario,Sind die Quadrate schwarz?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1254,40,"nein, stimmt nicht",False,0,[583],1
65b4a0c89f9c7,ES_Q,20,2,less,empty_scope,Sind weniger als drei Herzen pink?,3,5,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",8707,39,"ja, stimmt",False,0,[801],1
65b4a0c89f9c7,Homogeneity,233,1,NA,psp_failure,Sind die Dreiecke gelb?,NA,NA,6,"[['komische Frage'], ['nein, stimmt nicht'], ['ja, stimmt']]",1978,37,komische frage,False,0,[636],1
