Experiment,Item,Condition,Condition_ID,quantifier,scenario,n_quantifier,n_target_objects,shape_noun,color_adjective1_zh,color_adjective2_zh,Sentence_chinese,Expected_answer_zh,list,target_objects,Form_left,colour1_left,n_colour1_left,colour2_left,n_colour2_left,Form_right,colour1_right,n_colour1_right,colour2_right,n_colour2_right,Image,Type
ESQ,2,1,13,no,empty_restrictor,4.0,7.0,circle,橙子,,不是有一个圆圈是橙色的吗？,奇怪的问题,1,right,heart,orange,4,pink,5,cross,orange,3,pink,4,pic2_empty_restrictor.svg,Trial
DIST,110,2,6,every,target_target_left,,,Kreis,红色的,黄色的,每个圆圈是黄色还是红色？,是的，没错,1;2,right,triangle,red,1,yellow,6,circle,red,0,yellow,4,pic110_target_target_left.svg,Trial
Filler,1011,10,10,,psp_failure_both,,,Quadrate,红色的,,两颗心都是黄色的吗？,奇怪的问题,all_lists,left,square,red,1,black,0,triangle,black,3,grey,2,pic312_einige_some_but_not_all.svg,Trial
ESQ,10,4,12,every,large_control,3.0,5.0,circle,绿松石,,每个圆圈都是绿松石吗？,是的，没错,3,right,cross,turquoise,3,yellow,5,square,turquoise,5,yellow,0,pic10_large_control.svg,Trial
DIST,106,1,5,every,psp_violation_target_left,,,Dreieck,黄色的,蓝色的,每个三角形是蓝色还是黄色？,奇怪的问题,1;2,right,square,yellow,2,blue,2,circle,yellow,3,blue,3,pic106_psp_violation_target_left.svg,Trial
ESQ,3,1,13,no,empty_restrictor,4.0,6.0,heart,灰色的,,没有心是灰色的吗？,奇怪的问题,2,right,triangle,grey,2,yellow,3,square,grey,3,yellow,3,pic3_empty_restrictor.svg,Trial
DIST,104,2,6,every,target_target_left,,,Kreuz,粉色的,黑色的,每个十字架都是黑色还是粉色？,是的，没错,1;2,left,cross,pink,0,black,7,square,pink,4,black,5,pic104_target_target_left.svg,Trial
ESQ,17,3,11,every,small_control,3.0,6.0,circle,紫色的,,每个方块都是紫色的吗？,不，不是真的,1,left,square,purple,2,green,4,heart,purple,4,green,3,pic17_small_control.svg,Trial
DIST,104,4,4,every,false_control_target_right,,,Kreuz,粉色的,黑色的,每个十字架都是粉色还是黑色？,不，不是真的,3;4,left,cross,pink,4,grey,3,square,pink,4,grey,5,pic104_false_control_target_right.svg,Trial
ESQ,11,1,13,no,empty_restrictor,3.0,5.0,circle,黄色的,,不是有一个圆圈是黄色的吗？,奇怪的问题,2,left,triangle,yellow,3,brown,2,cross,yellow,5,brown,1,pic11_empty_restrictor.svg,Trial
ESQ,5,1,13,no,empty_restrictor,3.0,6.0,triangle,紫色的,,三角形不是紫色的吗？,奇怪的问题,4,right,cross,purple,5,red,3,circle,purple,3,red,3,pic5_empty_restrictor.svg,Trial
DIST,102,1,1,every,psp_violation_target_right,,,Quadrat,橙子,绿色的,每个方块是橙色还是绿色？,奇怪的问题,3;4,left,cross,orange,2,green,2,triangle,orange,4,green,4,pic102_psp_violation_target_right.svg,Trial
ESQ,12,2,2,less,empty_scope,4.0,6.0,cross,灰色的,,少于四个十字架是灰色的吗？,是的，没错,1,left,cross,grey,0,purple,6,circle,grey,6,purple,2,pic12_empty_scope.svg,Trial
ESQ,18,2,14,no,empty_scope,4.0,7.0,square,橙子,,不是有正方形的橙色吗？,是的，没错,2,left,square,orange,1,blue,6,circle,orange,2,blue,5,pic18_empty_scope.svg,Trial
Filler,403,2,2,,at_most_zero,,,Dreiecke,棕色的,,最多有四个三角形是棕色的吗？,是的，没错,all_lists,right,circle,brown,3,blue,3,triangle,brown,0,blue,4,pic8_empty_scope.svg,Trial
ESQ,17,1,13,no,empty_restrictor,3.0,6.0,circle,紫色的,,正方形不是紫色的吗？,奇怪的问题,4,left,triangle,purple,3,green,3,heart,purple,4,green,3,pic17_empty_restrictor.svg,Trial
ESQ,1,2,2,less,empty_scope,3.0,5.0,square,蓝色的,,蓝色方块少于三个吗？,是的，没错,2,right,circle,blue,3,red,4,square,blue,0,red,5,pic1_empty_scope.svg,Trial
DIST,110,4,8,every,false_control_target_left,,,Kreis,红色的,黄色的,每个圆圈是黄色还是红色？,不，不是真的,1;2,right,triangle,red,1,green,6,circle,red,3,green,1,pic110_false_control_target_left.svg,Trial
ESQ,3,3,7,more,small_control,4.0,6.0,heart,灰色的,,超过四颗心是灰色的吗？,不，不是真的,2,right,triangle,grey,2,yellow,3,heart,grey,2,yellow,4,pic3_small_control.svg,Trial
ESQ,6,3,7,more,small_control,3.0,5.0,heart,绿松石,,三颗以上的心是绿松石吗？,不，不是真的,1,right,circle,turquoise,2,red,4,heart,turquoise,1,red,4,pic6_small_control.svg,Trial
ESQ,15,4,16,no,large_control,3.0,5.0,circle,蓝色的,,三角形不是蓝色的吗？,不，不是真的,1,left,triangle,blue,5,yellow,0,square,blue,5,yellow,3,pic15_large_control.svg,Trial
ESQ,18,4,4,less,large_control,4.0,7.0,square,橙子,,少于四个方块是橙色的吗？,不，不是真的,1,left,square,orange,3,blue,4,circle,orange,2,blue,5,pic18_large_control.svg,Trial
ESQ,1,4,16,no,large_control,3.0,5.0,square,蓝色的,,正方形不是蓝色的吗？,不，不是真的,3,right,circle,blue,3,red,4,square,blue,5,red,0,pic1_large_control.svg,Trial
ESQ,10,2,14,no,empty_scope,3.0,5.0,circle,绿松石,,圆圈不是绿松石吗？,是的，没错,2,right,cross,turquoise,3,yellow,5,square,turquoise,0,yellow,5,pic10_empty_scope.svg,Trial
DIST,106,3,3,every,true_control_target_right,,,Dreieck,黄色的,蓝色的,每个三角形是黄色还是蓝色？,是的，没错,3;4,right,square,yellow,2,blue,2,triangle,yellow,3,blue,3,pic106_true_control_target_right.svg,Trial
DIST,105,4,4,every,false_control_target_right,,,Kreis,黑色的,灰色的,每个圆圈是黑色还是灰色？,不，不是真的,1;2,left,circle,black,6,yellow,2,triangle,black,4,yellow,1,pic105_false_control_target_right.svg,Trial
Filler,1015,10,10,,psp_failure_both,,,Kreise,绿色的,,这两个圆都是红色的吗？,奇怪的问题,all_lists,right,cross,red,3,green,3,circle,red,3,green,3,pic9_empty_restrictor.svg,Trial
DIST,103,2,6,every,target_target_left,,,Herz,绿松石,黄色的,每颗心是黄色还是绿松石色？,是的，没错,3;4,left,heart,turquoise,0,yellow,5,triangle,turquoise,4,yellow,1,pic103_target_target_left.svg,Trial
ESQ,9,4,16,no,large_control,4.0,7.0,triangle,红色的,,不是有一个三角形是红色的吗？,不，不是真的,3,right,square,red,5,purple,2,triangle,red,7,purple,0,pic9_large_control.svg,Trial
ESQ,16,1,9,every,empty_restrictor,4.0,7.0,heart,绿色的,,每颗心都是绿色的吗？,奇怪的问题,2,left,square,green,3,grey,4,cross,green,3,grey,3,pic16_empty_restrictor.svg,Trial
ESQ,5,4,16,no,large_control,3.0,6.0,triangle,紫色的,,三角形不是紫色的吗？,不，不是真的,3,right,cross,purple,5,red,3,triangle,purple,6,red,0,pic5_large_control.svg,Trial
Filler,402,1,1,,up_to_zero,,,Kreise,红色的,,最多三个圆圈是红色的吗？,不，不是真的,all_lists,left,circle,red,0,yellow,6,cross,red,2,yellow,2,pic110_target_target_left.svg,Trial
ESQ,19,4,16,no,large_control,4.0,6.0,cross,黄色的,,不是有十字黄吗？,不，不是真的,1,left,cross,yellow,6,pink,0,square,yellow,3,pink,2,pic19_large_control.svg,Trial
DIST,109,4,4,every,false_control_target_right,,,Kreuz,紫色的,灰色的,每个十字架是紫色还是灰色？,不，不是真的,1;2,right,square,brown,3,grey,3,cross,brown,4,grey,2,pic109_false_control_target_right.svg,Trial
DIST,108,1,1,every,psp_violation_target_right,,,Herz,黑色的,黄色的,每一颗心都是黑色的还是黄色的？,奇怪的问题,3;4,right,cross,black,5,yellow,2,circle,black,4,yellow,2,pic108_psp_violation_target_right.svg,Trial
Filler,1010,10,10,,psp_failure_definite_filler,,,Herz,绿松石,,这两个正方形都是红色的吗？,奇怪的问题,all_lists,right,heart,turquoise,1,black,0,heart,turquoise,1,black,1,pic6_small_control.svg,Trial
ESQ,6,4,8,more,large_control,3.0,5.0,heart,绿松石,,三颗以上的心是绿松石吗？,是的，没错,2,right,circle,turquoise,2,red,4,heart,turquoise,5,red,0,pic6_large_control.svg,Trial
ESQ,11,4,4,less,large_control,3.0,5.0,circle,黄色的,,少于三个圆圈是黄色的吗？,不，不是真的,2,left,circle,yellow,5,brown,0,cross,yellow,5,brown,1,pic11_large_control.svg,Trial
Filler,405,1,1,,up_to_zero,,,Kreuze,绿松石,,最多三个十字架是绿松石色的吗？,不，不是真的,all_lists,right,heart,turquoise,2,green,4,cross,turquoise,0,green,5,pic6_empty_scope.svg,Trial
ESQ,7,1,13,no,empty_restrictor,4.0,6.0,square,黑色的,,正方形不是黑色的吗？,奇怪的问题,2,right,heart,orange,3,black,1,triangle,orange,3,black,3,pic7_empty_restrictor.svg,Trial
Filler,1001,10,10,,psp_failure_definite_filler,,,Quadrat,黄色的,,那个正方形是黄色的吗？,奇怪的问题,all_lists,left,square,yellow,2,black,0,heart,yellow,0,black,1,pic106_psp_violation_target_right.svg,Trial
ESQ,11,2,6,more,empty_scope,3.0,5.0,circle,黄色的,,超过三个圆圈是黄色的吗？,不，不是真的,1,left,circle,yellow,0,brown,5,cross,yellow,5,brown,1,pic11_empty_scope.svg,Trial
Filler,1009,10,10,,psp_failure_definite_filler,,,Kreuz,红色的,,心是绿松石色的吗？,奇怪的问题,all_lists,right,cross,red,1,grey,0,cross,red,0,grey,1,pic317_einige_all.svg,Trial
Filler,1002,10,10,,psp_failure_definite_filler,,,Kreis,红色的,,这个圆是红色的吗？,奇怪的问题,all_lists,left,circle,red,2,blue,0,circle,red,0,blue,3,pic301_einige_some_but_not_all.svg,Trial
Filler,404,1,1,,up_to_zero,,,Quadrate,黑色的,,最多有两个方格是黑色的吗？,不，不是真的,all_lists,right,cross,black,4,yellow,2,square,black,0,yellow,10,pic304_einige_all.svg,Trial
DIST,108,3,3,every,true_control_target_right,,,Herz,黑色的,黄色的,每一颗心都是黑色的还是黄色的？,是的，没错,3;4,right,cross,black,5,yellow,2,heart,black,4,yellow,2,pic108_true_control_target_right.svg,Trial
DIST,103,3,7,every,true_control_target_left,,,Herz,绿松石,黄色的,每颗心是黄色还是绿松石色？,是的，没错,3;4,left,heart,turquoise,3,yellow,2,triangle,turquoise,4,yellow,1,pic103_true_control_target_left.svg,Trial
ESQ,6,2,2,less,empty_scope,3.0,5.0,heart,绿松石,,少于三颗心是绿松石吗？,是的，没错,3,right,circle,turquoise,2,red,4,heart,turquoise,0,red,5,pic6_empty_scope.svg,Trial
Filler,401,1,1,,up_to_zero,,,Dreiecke,蓝色的,,最多三个三角形是棕色的吗？,不，不是真的,all_lists,left,triangle,blue,0,red,5,square,blue,5,red,5,pic15_empty_scope.svg,Trial
ESQ,11,3,7,more,small_control,3.0,5.0,circle,黄色的,,超过三个圆圈是黄色的吗？,不，不是真的,2,left,circle,yellow,1,brown,4,cross,yellow,5,brown,1,pic11_small_control.svg,Trial
DIST,107,4,4,every,false_control_target_right,,,Quadrat,绿色的,黄色的,每个方块是绿色还是黄色？,不，不是真的,1;2,right,triangle,black,4,yellow,1,square,black,2,yellow,2,pic107_false_control_target_right.svg,Trial
Filler,403,1,1,,up_to_zero,,,Kreise,灰色的,,最多有四个圆圈是灰色的吗？,不，不是真的,all_lists,right,square,grey,4,red,4,circle,grey,0,red,8,pic8_empty_scope.svg,Trial
Filler,1006,10,10,,psp_failure_definite_filler,,,Quadrat,蓝色的,,那个正方形是蓝色的吗？,奇怪的问题,all_lists,right,circle,blue,1,grey,0,square,blue,2,grey,0,pic302_einige_all.svg,Trial
ESQ,19,2,10,every,empty_scope,4.0,6.0,cross,黄色的,,每个十字架都是黄色的吗？,不，不是真的,2,left,cross,yellow,0,pink,6,square,yellow,3,pink,2,pic19_empty_scope.svg,Trial
ESQ,5,3,7,more,small_control,3.0,6.0,triangle,紫色的,,超过三个三角形是紫色的吗？,不，不是真的,4,right,cross,purple,5,red,3,triangle,purple,1,red,5,pic5_small_control.svg,Trial
ESQ,19,3,11,every,small_control,4.0,6.0,cross,黄色的,,每个十字架都是黄色的吗？,不，不是真的,3,left,cross,yellow,2,pink,4,square,yellow,3,pink,2,pic19_small_control.svg,Trial
ESQ,2,2,2,less,empty_scope,4.0,7.0,circle,橙子,,少于四个圆圈是橙色的吗？,是的，没错,3,right,heart,orange,4,pink,5,circle,orange,0,pink,7,pic2_empty_scope.svg,Trial
ESQ,18,1,1,less,empty_restrictor,4.0,7.0,square,橙子,,少于四个方块是橙色的吗？,奇怪的问题,2,left,heart,orange,0,blue,7,circle,orange,2,blue,5,pic18_empty_restrictor.svg,Trial
DIST,107,3,3,every,true_control_target_right,,,Quadrat,绿色的,黄色的,每个方块是绿色还是黄色？,是的，没错,1;2,right,triangle,green,4,yellow,1,square,green,2,yellow,2,pic107_true_control_target_right.svg,Trial
DIST,101,4,8,every,false_control_target_left,,,Dreieck,红色的,蓝色的,每个三角形是蓝色还是红色？,不，不是真的,3;4,left,triangle,red,3,grey,4,square,red,2,grey,2,pic101_false_control_target_left.svg,Trial
DIST,102,4,8,every,false_control_target_left,,,Quadrat,橙子,绿色的,每个方块是绿色还是橙色？,不，不是真的,1;2,left,square,orange,2,black,2,triangle,orange,4,black,4,pic102_false_control_target_left.svg,Trial
ESQ,1,1,1,less,empty_restrictor,3.0,5.0,square,蓝色的,,蓝色方块少于三个吗？,奇怪的问题,1,right,circle,blue,3,red,4,triangle,blue,3,red,2,pic1_empty_restrictor.svg,Trial
ESQ,5,2,2,less,empty_scope,3.0,6.0,triangle,紫色的,,少于三个三角形是紫色的吗？,是的，没错,2,right,cross,purple,5,red,3,triangle,purple,0,red,6,pic5_empty_scope.svg,Trial
DIST,108,2,2,every,target_target_right,,,Herz,黑色的,黄色的,每一颗心都是黑色的还是黄色的？,是的，没错,3;4,right,cross,black,5,yellow,2,heart,black,0,yellow,6,pic108_target_target_right.svg,Trial
ESQ,18,3,15,no,small_control,4.0,7.0,square,橙子,,不是有正方形的橙色吗？,不，不是真的,3,left,square,orange,7,blue,0,circle,orange,2,blue,5,pic18_small_control.svg,Trial
ESQ,17,4,12,every,large_control,3.0,6.0,circle,紫色的,,每个方块都是紫色的吗？,是的，没错,2,left,square,purple,6,green,0,heart,purple,4,green,3,pic17_large_control.svg,Trial
ESQ,9,3,3,less,small_control,4.0,7.0,triangle,红色的,,少于四个三角形是红色的吗？,是的，没错,3,right,square,red,5,purple,2,triangle,red,1,purple,6,pic9_small_control.svg,Trial
DIST,109,3,3,every,true_control_target_right,,,Kreuz,紫色的,灰色的,每个十字架是紫色还是灰色？,是的，没错,1;2,right,square,purple,3,grey,3,cross,purple,4,grey,2,pic109_true_control_target_right.svg,Trial
DIST,102,2,6,every,target_target_left,,,Quadrat,橙子,绿色的,每个方块是绿色还是橙色？,是的，没错,1;2,left,square,orange,0,green,4,triangle,orange,4,green,4,pic102_target_target_left.svg,Trial
ESQ,13,2,10,every,empty_scope,3.0,5.0,triangle,黑色的,,每个三角形都是黑色的吗？,不，不是真的,4,left,triangle,black,0,turquoise,5,heart,black,3,turquoise,5,pic13_empty_scope.svg,Trial
DIST,106,2,2,every,target_target_right,,,Dreieck,黄色的,蓝色的,每个三角形是黄色还是蓝色？,是的，没错,3;4,right,square,yellow,2,blue,2,triangle,yellow,0,blue,6,pic106_target_target_right.svg,Trial
DIST,109,1,5,every,psp_violation_target_left,,,Kreuz,紫色的,灰色的,每个十字架是灰色还是紫色？,奇怪的问题,3;4,right,square,purple,3,grey,3,circle,purple,4,grey,2,pic109_psp_violation_target_left.svg,Trial
ESQ,7,3,11,every,small_control,4.0,6.0,square,黑色的,,每个方块都是黑色的吗？,不，不是真的,3,right,heart,orange,3,black,1,square,orange,2,black,4,pic7_small_control.svg,Trial
DIST,101,1,1,every,psp_violation_target_right,,,Dreieck,红色的,蓝色的,每个三角形都是红色或蓝色吗？,奇怪的问题,1;2,left,circle,red,3,blue,4,square,red,2,blue,2,pic101_psp_violation_target_right.svg,Trial
ESQ,12,1,13,no,empty_restrictor,4.0,6.0,cross,灰色的,,不是有十字灰色吗？,奇怪的问题,3,left,heart,grey,3,purple,3,circle,grey,6,purple,2,pic12_empty_restrictor.svg,Trial
ESQ,13,3,7,more,small_control,3.0,5.0,triangle,黑色的,,三个以上的三角形都是黑色的吗？,不，不是真的,4,left,triangle,black,1,turquoise,4,heart,black,3,turquoise,5,pic13_small_control.svg,Trial
DIST,102,3,3,every,true_control_target_right,,,Quadrat,橙子,绿色的,每个方块是橙色还是绿色？,是的，没错,3;4,left,square,orange,2,green,2,triangle,orange,4,green,4,pic102_true_control_target_right.svg,Trial
Filler,1004,10,10,,psp_failure_definite_filler,,,Kreuz,棕色的,,这个三角形是蓝色的吗？,奇怪的问题,all_lists,left,heart,brown,2,green,2,square,brown,1,green,0,pic307_einige_some_but_not_all.svg,Trial
DIST,101,3,3,every,true_control_target_right,,,Dreieck,红色的,蓝色的,每个三角形都是红色或蓝色吗？,是的，没错,1;2,left,triangle,red,3,blue,4,square,red,2,blue,2,pic101_true_control_target_right.svg,Trial
DIST,110,3,7,every,true_control_target_left,,,Kreis,红色的,黄色的,每个圆圈是黄色还是红色？,是的，没错,1;2,right,triangle,red,1,yellow,6,circle,red,3,yellow,1,pic110_true_control_target_left.svg,Trial
ESQ,4,1,13,no,empty_restrictor,4.0,7.0,cross,棕色的,,不是有十字棕色吗？,奇怪的问题,3,right,square,brown,1,green,5,heart,brown,3,green,4,pic4_empty_restrictor.svg,Trial
ESQ,14,4,8,more,large_control,4.0,7.0,cross,粉色的,,超过四个十字架是粉红色的吗？,是的，没错,2,left,cross,pink,7,black,0,triangle,pink,4,black,4,pic14_large_control.svg,Trial
ESQ,20,1,5,more,empty_restrictor,3.0,5.0,heart,粉色的,,三颗以上的心是粉红色的吗？,奇怪的问题,1,left,cross,pink,3,grey,2,triangle,pink,3,grey,3,pic20_empty_restrictor.svg,Trial
DIST,110,1,5,every,psp_violation_target_left,,,Kreis,红色的,黄色的,每个圆圈是黄色还是红色？,奇怪的问题,1;2,right,triangle,red,1,yellow,6,heart,red,3,yellow,1,pic110_psp_violation_target_left.svg,Trial
ESQ,8,3,7,more,small_control,3.0,5.0,circle,灰色的,,超过三个圆圈是灰色的吗？,不，不是真的,3,right,triangle,grey,4,blue,4,circle,grey,2,blue,3,pic8_small_control.svg,Trial
ESQ,20,4,4,less,large_control,3.0,5.0,heart,粉色的,,少于三颗心是粉红色的吗？,不，不是真的,3,left,heart,pink,5,grey,0,triangle,pink,3,grey,3,pic20_large_control.svg,Trial
ESQ,20,2,6,more,empty_scope,3.0,5.0,heart,粉色的,,三颗以上的心是粉红色的吗？,不，不是真的,2,left,heart,pink,0,grey,5,triangle,pink,3,grey,3,pic20_empty_scope.svg,Trial
Filler,402,2,2,,at_most_zero,,,Kreise,红色的,,最多有三个圆圈是红色的吗？,是的，没错,all_lists,left,circle,red,0,yellow,6,cross,red,2,yellow,2,pic302_einige_some_but_not_all.svg,Trial
ESQ,14,3,15,no,small_control,4.0,7.0,cross,粉色的,,不是有十字粉红吗？,不，不是真的,3,left,cross,pink,1,black,6,triangle,pink,4,black,4,pic14_small_control.svg,Trial
ESQ,8,4,12,every,large_control,3.0,5.0,circle,灰色的,,每个圆圈都是灰色的吗？,是的，没错,1,right,triangle,grey,4,blue,4,circle,grey,5,blue,0,pic8_large_control.svg,Trial
ESQ,7,4,8,more,large_control,4.0,6.0,square,黑色的,,超过四个方块都是黑色的吗？,是的，没错,3,right,heart,orange,3,black,1,square,orange,6,black,0,pic7_large_control.svg,Trial
ESQ,13,4,4,less,large_control,3.0,5.0,triangle,黑色的,,少于三个三角形是黑色的吗？,不，不是真的,4,left,triangle,black,5,turquoise,0,heart,black,3,turquoise,5,pic13_large_control.svg,Trial
ESQ,6,1,13,no,empty_restrictor,3.0,5.0,heart,绿松石,,心不是绿松石吗？,奇怪的问题,1,right,circle,turquoise,2,red,4,cross,turquoise,3,red,2,pic6_empty_restrictor.svg,Trial
ESQ,3,2,6,more,empty_scope,4.0,6.0,heart,灰色的,,超过四颗心是灰色的吗？,不，不是真的,1,right,triangle,grey,2,yellow,3,heart,grey,0,yellow,6,pic3_empty_scope.svg,Trial
DIST,104,1,5,every,psp_violation_target_left,,,Kreuz,粉色的,黑色的,每个十字架都是黑色还是粉色？,奇怪的问题,1;2,left,heart,pink,4,black,3,square,pink,4,black,5,pic104_psp_violation_target_left.svg,Trial
ESQ,14,2,10,every,empty_scope,4.0,7.0,cross,粉色的,,每个十字架都是粉红色的吗？,不，不是真的,1,left,cross,pink,0,black,7,triangle,pink,4,black,4,pic14_empty_scope.svg,Trial
ESQ,2,3,3,less,small_control,4.0,7.0,circle,橙子,,少于四个圆圈是橙色的吗？,是的，没错,4,right,heart,orange,4,pink,5,circle,orange,1,pink,6,pic2_small_control.svg,Trial
ESQ,4,4,16,no,large_control,4.0,7.0,cross,棕色的,,不是有十字棕色吗？,不，不是真的,2,right,square,brown,1,green,5,cross,brown,7,green,0,pic4_large_control.svg,Trial
ESQ,20,3,15,no,small_control,3.0,5.0,heart,粉色的,,心不是粉红色的吗？,不，不是真的,1,left,heart,pink,2,grey,3,triangle,pink,3,grey,3,pic20_small_control.svg,Trial
DIST,103,4,8,every,false_control_target_left,,,Herz,绿松石,黄色的,每颗心是黄色还是绿松石色？,不，不是真的,3;4,left,heart,black,3,yellow,2,triangle,black,4,yellow,1,pic103_false_control_target_left.svg,Trial
ESQ,15,1,13,no,empty_restrictor,3.0,5.0,circle,蓝色的,,三角形不是蓝色的吗？,奇怪的问题,2,left,circle,blue,3,yellow,2,square,blue,5,yellow,3,pic15_empty_restrictor.svg,Trial
Filler,1005,10,10,,psp_failure_definite_filler,,,Herz,红色的,,那个十字架是棕色的吗？,奇怪的问题,all_lists,left,square,red,3,blue,3,circle,red,1,blue,1,pic308_einige_all.svg,Trial
ESQ,4,2,10,every,empty_scope,4.0,7.0,cross,棕色的,,每个十字架都是棕色的吗？,不，不是真的,3,right,square,brown,1,green,5,cross,brown,0,green,7,pic4_empty_scope.svg,Trial
Filler,1012,10,10,,psp_failure_both,,,Kreise,黄色的,,这两个圆都是黄色的吗？,奇怪的问题,all_lists,left,circle,yellow,2,blue,3,cross,yellow,2,blue,2,pic11_small_control.svg,Trial
ESQ,16,4,8,more,large_control,4.0,7.0,heart,绿色的,,超过四颗心是绿色的吗？,是的，没错,4,left,heart,green,7,grey,0,cross,green,3,grey,3,pic16_large_control.svg,Trial
ESQ,15,3,7,more,small_control,3.0,5.0,circle,蓝色的,,超过三个三角形是蓝色的吗？,不，不是真的,2,left,triangle,blue,2,yellow,3,square,blue,5,yellow,3,pic15_small_control.svg,Trial
ESQ,19,1,1,less,empty_restrictor,4.0,6.0,cross,黄色的,,黄色十字是否少于四个？,奇怪的问题,3,left,circle,yellow,3,pink,3,square,yellow,3,pink,2,pic19_empty_restrictor.svg,Trial
Filler,1014,10,10,,psp_failure_both,,,Dreiecke,蓝色的,,这两个三角形都是蓝色的吗？,奇怪的问题,all_lists,right,circle,blue,5,red,5,triangle,blue,2,red,2,pic15_small_control.svg,Trial
ESQ,8,2,14,no,empty_scope,3.0,5.0,circle,灰色的,,圆圈不是灰色的吗？,是的，没错,4,right,triangle,grey,4,blue,4,circle,grey,0,blue,5,pic8_empty_scope.svg,Trial
DIST,105,1,1,every,psp_violation_target_right,,,Kreis,黑色的,灰色的,每个圆圈是黑色还是灰色？,奇怪的问题,1;2,left,square,black,6,grey,2,triangle,black,4,grey,1,pic105_psp_violation_target_right.svg,Trial
ESQ,12,3,7,more,small_control,4.0,6.0,cross,灰色的,,四个以上的十字是灰色的吗？,不，不是真的,3,left,cross,grey,1,purple,5,circle,grey,6,purple,2,pic12_small_control.svg,Trial
ESQ,8,1,9,every,empty_restrictor,3.0,5.0,circle,灰色的,,每个圆圈都是灰色的吗？,奇怪的问题,2,right,triangle,grey,4,blue,4,cross,grey,3,blue,2,pic8_empty_restrictor.svg,Trial
ESQ,1,3,3,less,small_control,3.0,5.0,square,蓝色的,,蓝色方块少于三个吗？,是的，没错,3,right,circle,blue,3,red,4,square,blue,1,red,4,pic1_small_control.svg,Trial
ESQ,3,4,4,less,large_control,4.0,6.0,heart,灰色的,,少于四颗心是灰色的吗？,不，不是真的,2,right,triangle,grey,2,yellow,3,heart,grey,6,yellow,0,pic3_large_control.svg,Trial
DIST,103,1,5,every,psp_violation_target_left,,,Herz,绿松石,黄色的,每颗心是黄色还是绿松石色？,奇怪的问题,3;4,left,square,turquoise,3,yellow,2,triangle,turquoise,4,yellow,1,pic103_psp_violation_target_left.svg,Trial
DIST,109,2,2,every,target_target_right,,,Kreuz,紫色的,灰色的,每个十字架是紫色还是灰色？,是的，没错,1;2,right,square,purple,3,grey,3,cross,purple,0,grey,6,pic109_target_target_right.svg,Trial
ESQ,13,1,5,more,empty_restrictor,3.0,5.0,triangle,黑色的,,三个以上的三角形都是黑色的吗？,奇怪的问题,2,left,square,black,3,turquoise,2,heart,black,3,turquoise,5,pic13_empty_restrictor.svg,Trial
DIST,108,4,4,every,false_control_target_right,,,Herz,黑色的,黄色的,每一颗心都是黑色的还是黄色的？,不，不是真的,3;4,right,cross,red,5,yellow,2,heart,red,4,yellow,2,pic108_false_control_target_right.svg,Trial
