trial_number,experiment,item,condition,condition_id,quantifier,scenario,sentence,expected,response,correct,reaction_time_ms,image
21,DIST,102,4,4,every,false_control_target_right,每个方块是橙色还是绿色？,不，不是真的,奇怪的问题,0,8432,pic102_false_control_target_right.svg
22,ESQ,4,4,16,no,large_control,不是有十字棕色吗？,不，不是真的,奇怪的问题,0,4288,pic4_large_control.svg
23,ESQ,5,1,13,no,empty_restrictor,三角形不是紫色的吗？,奇怪的问题,不，不是真的,0,7923,pic5_empty_restrictor.svg
24,Filler,1012,10,10,,psp_failure_both,这两个圆都是黄色的吗？,奇怪的问题,不，不是真的,0,4397,pic11_small_control.svg
25,ESQ,17,1,13,no,empty_restrictor,正方形不是紫色的吗？,奇怪的问题,奇怪的问题,1,11442,pic17_empty_restrictor.svg
26,ESQ,3,2,2,less,empty_scope,少于四颗心是灰色的吗？,是的，没错,是的，没错,1,2768,pic3_empty_scope.svg
27,ESQ,3,3,7,more,small_control,超过四颗心是灰色的吗？,不，不是真的,不，不是真的,1,2486,pic3_small_control.svg
28,DIST,110,1,1,every,psp_violation_target_right,每个圆圈是红色还是黄色？,奇怪的问题,奇怪的问题,1,4450,pic110_psp_violation_target_right.svg
29,ESQ,16,1,9,every,empty_restrictor,每颗心都是绿色的吗？,奇怪的问题,奇怪的问题,1,6484,pic16_empty_restrictor.svg
30,ESQ,18,4,4,less,large_control,少于四个方块是橙色的吗？,不，不是真的,是的，没错,0,3938,pic18_large_control.svg
31,ESQ,5,4,8,more,large_control,超过三个三角形是紫色的吗？,是的，没错,是的，没错,1,2112,pic5_large_control.svg
32,ESQ,12,2,10,every,empty_scope,每个十字都是灰色的吗？,不，不是真的,不，不是真的,1,1780,pic12_empty_scope.svg
33,ESQ,3,1,9,every,empty_restrictor,每一颗心都是灰色的吗？,奇怪的问题,不，不是真的,0,4884,pic3_empty_restrictor.svg
34,ESQ,10,4,8,more,large_control,超过三个圆圈是绿松石吗？,是的，没错,奇怪的问题,0,4837,pic10_large_control.svg
35,ESQ,9,4,12,every,large_control,每个三角形都是红色的吗？,是的，没错,是的，没错,1,4413,pic9_large_control.svg
36,ESQ,3,2,6,more,empty_scope,超过四颗心是灰色的吗？,不，不是真的,不，不是真的,1,2895,pic3_empty_scope.svg
37,DIST,104,4,4,every,false_control_target_right,每个十字架都是粉色还是黑色？,不，不是真的,奇怪的问题,0,3874,pic104_false_control_target_right.svg
38,ESQ,5,4,12,every,large_control,每个三角形都是紫色的吗？,是的，没错,是的，没错,1,2433,pic5_large_control.svg
39,DIST,107,4,4,every,false_control_target_right,每个方块是绿色还是黄色？,不，不是真的,奇怪的问题,0,4701,pic107_false_control_target_right.svg
40,ESQ,10,2,14,no,empty_scope,圆圈不是绿松石吗？,是的，没错,奇怪的问题,0,1829,pic10_empty_scope.svg
41,ESQ,18,4,12,every,large_control,每个方块都是橙色的吗？,是的，没错,不，不是真的,0,4905,pic18_large_control.svg
42,ESQ,12,3,3,less,small_control,少于四个十字架是灰色的吗？,是的，没错,是的，没错,1,4079,pic12_small_control.svg
43,ESQ,8,3,7,more,small_control,超过三个圆圈是灰色的吗？,不，不是真的,不，不是真的,1,2929,pic8_small_control.svg
44,DIST,107,4,8,every,false_control_target_left,每个方块是黄色还是绿色？,不，不是真的,奇怪的问题,0,3732,pic107_false_control_target_left.svg
45,ESQ,1,2,2,less,empty_scope,蓝色方块少于三个吗？,是的，没错,是的，没错,1,6521,pic1_empty_scope.svg
46,ESQ,14,3,11,every,small_control,每个十字架都是粉红色的吗？,不，不是真的,不，不是真的,1,2660,pic14_small_control.svg
47,ESQ,2,3,3,less,small_control,少于四个圆圈是橙色的吗？,是的，没错,是的，没错,1,7305,pic2_small_control.svg
48,ESQ,11,4,4,less,large_control,少于三个圆圈是黄色的吗？,不，不是真的,是的，没错,0,16301,pic11_large_control.svg
49,ESQ,17,1,5,more,empty_restrictor,三个以上的方块都是紫色的吗？,奇怪的问题,不，不是真的,0,23795,pic17_empty_restrictor.svg
50,ESQ,6,3,3,less,small_control,少于三颗心是绿松石吗？,是的，没错,是的，没错,1,3122,pic6_small_control.svg
51,DIST,108,4,8,every,false_control_target_left,每颗心都是黄色还是黑色？,不，不是真的,不，不是真的,1,8569,pic108_false_control_target_left.svg
52,ESQ,1,3,7,more,small_control,三个以上的方块都是蓝色的吗？,不，不是真的,不，不是真的,1,6746,pic1_small_control.svg
53,ESQ,4,2,2,less,empty_scope,少于四个十字架是棕色的吗？,是的，没错,不，不是真的,0,2148,pic4_empty_scope.svg
54,DIST,107,3,3,every,true_control_target_right,每个方块是绿色还是黄色？,是的，没错,奇怪的问题,0,4393,pic107_true_control_target_right.svg
55,ESQ,9,3,11,every,small_control,每个三角形都是红色的吗？,不，不是真的,不，不是真的,1,2573,pic9_small_control.svg
56,ESQ,7,1,1,less,empty_restrictor,少于四个方块是黑色的吗？,奇怪的问题,奇怪的问题,1,3647,pic7_empty_restrictor.svg
57,ESQ,4,1,5,more,empty_restrictor,超过四个十字架是棕色的吗？,奇怪的问题,奇怪的问题,1,1307,pic4_empty_restrictor.svg
58,ESQ,8,1,1,less,empty_restrictor,少于三个圆圈是灰色的吗？,奇怪的问题,是的，没错,0,6102,pic8_empty_restrictor.svg
59,ESQ,13,3,3,less,small_control,少于三个三角形是黑色的吗？,是的，没错,是的，没错,1,2414,pic13_small_control.svg
60,ESQ,17,4,8,more,large_control,三个以上的方块都是紫色的吗？,是的，没错,是的，没错,1,2895,pic17_large_control.svg
61,ESQ,17,4,16,no,large_control,正方形不是紫色的吗？,不，不是真的,不，不是真的,1,1999,pic17_large_control.svg
62,DIST,108,4,4,every,false_control_target_right,每一颗心都是黑色的还是黄色的？,不，不是真的,奇怪的问题,0,9153,pic108_false_control_target_right.svg
63,DIST,103,4,8,every,false_control_target_left,每颗心是黄色还是绿松石色？,不，不是真的,奇怪的问题,0,4929,pic103_false_control_target_left.svg
64,ESQ,5,3,11,every,small_control,每个三角形都是紫色的吗？,不，不是真的,不，不是真的,1,2712,pic5_small_control.svg
65,ESQ,2,3,15,no,small_control,不是有一个圆圈是橙色的吗？,不，不是真的,是的，没错,0,6801,pic2_small_control.svg
66,ESQ,6,1,13,no,empty_restrictor,心不是绿松石吗？,奇怪的问题,奇怪的问题,1,7344,pic6_empty_restrictor.svg
67,Filler,1003,10,10,,psp_failure_definite_filler,这个三角形是蓝色的吗？,奇怪的问题,不，不是真的,0,5132,pic1_empty_scope.svg
68,DIST,107,2,6,every,target_target_left,每个方块是黄色还是绿色？,是的，没错,奇怪的问题,0,4857,pic107_target_target_left.svg
69,DIST,107,1,5,every,psp_violation_target_left,每个方块是黄色还是绿色？,奇怪的问题,奇怪的问题,1,6630,pic107_psp_violation_target_left.svg
70,ESQ,13,4,4,less,large_control,少于三个三角形是黑色的吗？,不，不是真的,是的，没错,0,10575,pic13_large_control.svg
71,ESQ,7,2,14,no,empty_scope,正方形不是黑色的吗？,是的，没错,不，不是真的,0,4786,pic7_empty_scope.svg
72,ESQ,15,1,13,no,empty_restrictor,三角形不是蓝色的吗？,奇怪的问题,奇怪的问题,1,2659,pic15_empty_restrictor.svg
73,ESQ,9,1,13,no,empty_restrictor,不是有一个三角形是红色的吗？,奇怪的问题,是的，没错,0,14670,pic9_empty_restrictor.svg
74,ESQ,20,2,2,less,empty_scope,少于三颗心是粉红色的吗？,是的，没错,不，不是真的,0,4005,pic20_empty_scope.svg
75,ESQ,12,1,9,every,empty_restrictor,每个十字都是灰色的吗？,奇怪的问题,奇怪的问题,1,4351,pic12_empty_restrictor.svg
76,DIST,101,2,6,every,target_target_left,每个三角形是蓝色还是红色？,是的，没错,奇怪的问题,0,3408,pic101_target_target_left.svg
77,DIST,102,2,2,every,target_target_right,每个方块是橙色还是绿色？,是的，没错,奇怪的问题,0,7502,pic102_target_target_right.svg
78,ESQ,17,3,7,more,small_control,三个以上的方块都是紫色的吗？,不，不是真的,不，不是真的,1,5069,pic17_small_control.svg
79,Filler,1002,10,10,,psp_failure_definite_filler,这个圆是红色的吗？,奇怪的问题,奇怪的问题,1,6402,pic301_einige_some_but_not_all.svg
80,ESQ,9,2,6,more,empty_scope,超过四个三角形是红色的吗？,不，不是真的,不，不是真的,1,10685,pic9_empty_scope.svg
81,ESQ,1,4,16,no,large_control,正方形不是蓝色的吗？,不，不是真的,不，不是真的,1,3582,pic1_large_control.svg
82,ESQ,13,3,7,more,small_control,三个以上的三角形都是黑色的吗？,不，不是真的,不，不是真的,1,2328,pic13_small_control.svg
83,ESQ,11,2,14,no,empty_scope,不是有一个圆圈是黄色的吗？,是的，没错,是的，没错,1,7198,pic11_empty_scope.svg
84,ESQ,7,2,6,more,empty_scope,超过四个方块都是黑色的吗？,不，不是真的,是的，没错,0,5212,pic7_empty_scope.svg
85,DIST,101,4,4,every,false_control_target_right,每个三角形都是红色或蓝色吗？,不，不是真的,奇怪的问题,0,2016,pic101_false_control_target_right.svg
86,Filler,403,1,1,,up_to_zero,最多有四个圆圈是灰色的吗？,不，不是真的,是的，没错,0,4995,pic8_empty_scope.svg
87,ESQ,15,3,3,less,small_control,蓝色三角形少于三个吗？,是的，没错,是的，没错,1,4880,pic15_small_control.svg
88,ESQ,13,2,2,less,empty_scope,少于三个三角形是黑色的吗？,是的，没错,是的，没错,1,4961,pic13_empty_scope.svg
89,ESQ,15,4,12,every,large_control,每个三角形都是蓝色的吗？,是的，没错,是的，没错,1,2720,pic15_large_control.svg
90,DIST,109,2,2,every,target_target_right,每个十字架是紫色还是灰色？,是的，没错,奇怪的问题,0,5333,pic109_target_target_right.svg
91,ESQ,2,1,1,less,empty_restrictor,少于四个圆圈是橙色的吗？,奇怪的问题,是的，没错,0,6254,pic2_empty_restrictor.svg
92,ESQ,20,3,11,every,small_control,每一颗心都是粉红色的吗？,不，不是真的,不，不是真的,1,2392,pic20_small_control.svg
93,DIST,106,2,2,every,target_target_right,每个三角形是黄色还是蓝色？,是的，没错,奇怪的问题,0,2801,pic106_target_target_right.svg
94,ESQ,16,2,10,every,empty_scope,每颗心都是绿色的吗？,不，不是真的,不，不是真的,1,2440,pic16_empty_scope.svg
95,ESQ,8,3,3,less,small_control,少于三个圆圈是灰色的吗？,是的，没错,不，不是真的,0,7995,pic8_small_control.svg
96,ESQ,3,4,4,less,large_control,少于四颗心是灰色的吗？,不，不是真的,是的，没错,0,3969,pic3_large_control.svg
97,ESQ,18,4,16,no,large_control,不是有正方形的橙色吗？,不，不是真的,不，不是真的,1,18266,pic18_large_control.svg
98,ESQ,2,4,12,every,large_control,每个圆圈都是橙色的吗？,是的，没错,是的，没错,1,1953,pic2_large_control.svg
99,ESQ,18,3,15,no,small_control,不是有正方形的橙色吗？,不，不是真的,不，不是真的,1,7514,pic18_small_control.svg
100,ESQ,14,3,3,less,small_control,少于四个十字架是粉红色的吗？,是的，没错,是的，没错,1,3052,pic14_small_control.svg
101,ESQ,8,4,8,more,large_control,超过三个圆圈是灰色的吗？,是的，没错,是的，没错,1,1869,pic8_large_control.svg
102,ESQ,1,4,12,every,large_control,每个方块都是蓝色的吗？,是的，没错,是的，没错,1,7253,pic1_large_control.svg
103,DIST,110,4,4,every,false_control_target_right,每个圆圈是红色还是黄色？,不，不是真的,奇怪的问题,0,3578,pic110_false_control_target_right.svg
104,ESQ,10,3,15,no,small_control,圆圈不是绿松石吗？,不，不是真的,奇怪的问题,0,1944,pic10_small_control.svg
105,ESQ,19,2,6,more,empty_scope,超过四个十字是黄色的吗？,不，不是真的,不，不是真的,1,5296,pic19_empty_scope.svg
106,ESQ,18,3,3,less,small_control,少于四个方块是橙色的吗？,是的，没错,是的，没错,1,2912,pic18_small_control.svg
107,ESQ,16,4,8,more,large_control,超过四颗心是绿色的吗？,是的，没错,是的，没错,1,8719,pic16_large_control.svg
108,ESQ,19,3,11,every,small_control,每个十字架都是黄色的吗？,不，不是真的,不，不是真的,1,2065,pic19_small_control.svg
109,ESQ,14,2,14,no,empty_scope,不是有十字粉红吗？,是的，没错,是的，没错,1,2958,pic14_empty_scope.svg
110,ESQ,11,3,3,less,small_control,少于三个圆圈是黄色的吗？,是的，没错,是的，没错,1,6960,pic11_small_control.svg
111,ESQ,3,1,13,no,empty_restrictor,没有心是灰色的吗？,奇怪的问题,是的，没错,0,2586,pic3_empty_restrictor.svg
112,Filler,405,2,2,,at_most_zero,最多只有三个绿松石色的十字架吗？,是的，没错,奇怪的问题,0,11646,pic6_empty_scope.svg
113,ESQ,18,1,13,no,empty_restrictor,不是有正方形的橙色吗？,奇怪的问题,是的，没错,0,4073,pic18_empty_restrictor.svg
114,ESQ,11,1,13,no,empty_restrictor,不是有一个圆圈是黄色的吗？,奇怪的问题,是的，没错,0,5892,pic11_empty_restrictor.svg
115,ESQ,10,2,10,every,empty_scope,每个圆圈都是绿松石吗？,不，不是真的,奇怪的问题,0,2309,pic10_empty_scope.svg
116,ESQ,17,4,4,less,large_control,少于三个方块是紫色的吗？,不，不是真的,是的，没错,0,1798,pic17_large_control.svg
117,ESQ,12,3,11,every,small_control,每个十字都是灰色的吗？,不，不是真的,不，不是真的,1,6369,pic12_small_control.svg
118,DIST,105,1,5,every,psp_violation_target_left,每个圆圈是灰色还是黑色？,奇怪的问题,奇怪的问题,1,2321,pic105_psp_violation_target_left.svg
119,DIST,103,3,3,every,true_control_target_right,每颗心是绿松石色还是黄色？,是的，没错,奇怪的问题,0,1536,pic103_true_control_target_right.svg
120,ESQ,15,2,2,less,empty_scope,蓝色三角形少于三个吗？,是的，没错,是的，没错,1,2280,pic15_empty_scope.svg
121,ESQ,19,3,15,no,small_control,不是有十字黄吗？,不，不是真的,不，不是真的,1,3724,pic19_small_control.svg
122,ESQ,19,1,5,more,empty_restrictor,超过四个十字是黄色的吗？,奇怪的问题,奇怪的问题,1,7206,pic19_empty_restrictor.svg
123,ESQ,4,2,10,every,empty_scope,每个十字架都是棕色的吗？,不，不是真的,不，不是真的,1,1740,pic4_empty_scope.svg
124,ESQ,14,4,12,every,large_control,每个十字架都是粉红色的吗？,是的，没错,是的，没错,1,1354,pic14_large_control.svg
125,ESQ,1,3,11,every,small_control,每个方块都是蓝色的吗？,不，不是真的,不，不是真的,1,1592,pic1_small_control.svg
126,DIST,103,3,7,every,true_control_target_left,每颗心是黄色还是绿松石色？,是的，没错,奇怪的问题,0,1706,pic103_true_control_target_left.svg
127,ESQ,16,1,1,less,empty_restrictor,少于四颗心是绿色的吗？,奇怪的问题,是的，没错,0,7082,pic16_empty_restrictor.svg
128,DIST,105,4,4,every,false_control_target_right,每个圆圈是黑色还是灰色？,不，不是真的,奇怪的问题,0,4303,pic105_false_control_target_right.svg
129,ESQ,20,2,10,every,empty_scope,每一颗心都是粉红色的吗？,不，不是真的,不，不是真的,1,1544,pic20_empty_scope.svg
130,ESQ,1,1,1,less,empty_restrictor,蓝色方块少于三个吗？,奇怪的问题,是的，没错,0,16771,pic1_empty_restrictor.svg
131,ESQ,15,3,7,more,small_control,超过三个三角形是蓝色的吗？,不，不是真的,是的，没错,0,13367,pic15_small_control.svg
132,ESQ,9,3,3,less,small_control,少于四个三角形是红色的吗？,是的，没错,是的，没错,1,4092,pic9_small_control.svg
133,ESQ,3,2,10,every,empty_scope,每一颗心都是灰色的吗？,不，不是真的,不，不是真的,1,9092,pic3_empty_scope.svg
134,ESQ,20,1,13,no,empty_restrictor,心不是粉红色的吗？,奇怪的问题,是的，没错,0,6072,pic20_empty_restrictor.svg
135,ESQ,6,4,8,more,large_control,三颗以上的心是绿松石吗？,是的，没错,是的，没错,1,15187,pic6_large_control.svg
136,ESQ,8,3,15,no,small_control,圆圈不是灰色的吗？,不，不是真的,不，不是真的,1,11168,pic8_small_control.svg
137,ESQ,7,3,15,no,small_control,正方形不是黑色的吗？,不，不是真的,不，不是真的,1,1724,pic7_small_control.svg
138,ESQ,13,4,12,every,large_control,每个三角形都是黑色的吗？,是的，没错,是的，没错,1,1489,pic13_large_control.svg
139,ESQ,17,2,2,less,empty_scope,少于三个方块是紫色的吗？,是的，没错,是的，没错,1,8555,pic17_empty_scope.svg
140,DIST,101,3,7,every,true_control_target_left,每个三角形是蓝色还是红色？,是的，没错,奇怪的问题,0,18676,pic101_true_control_target_left.svg
141,ESQ,15,2,10,every,empty_scope,每个三角形都是蓝色的吗？,不，不是真的,不，不是真的,1,1418,pic15_empty_scope.svg
142,DIST,104,3,3,every,true_control_target_right,每个十字架都是粉色还是黑色？,是的，没错,奇怪的问题,0,1564,pic104_true_control_target_right.svg
143,Filler,404,2,2,,at_most_zero,最多会有两个黑方块吗？,是的，没错,不，不是真的,0,16173,pic304_einige_all.svg
144,ESQ,2,2,6,more,empty_scope,超过四个圆圈是橙色的吗？,不，不是真的,不，不是真的,1,6478,pic2_empty_scope.svg
145,ESQ,17,3,3,less,small_control,少于三个方块是紫色的吗？,是的，没错,是的，没错,1,2730,pic17_small_control.svg
146,ESQ,2,4,16,no,large_control,不是有一个圆圈是橙色的吗？,不，不是真的,不，不是真的,1,2900,pic2_large_control.svg
147,DIST,106,1,5,every,psp_violation_target_left,每个三角形是蓝色还是黄色？,奇怪的问题,奇怪的问题,1,5450,pic106_psp_violation_target_left.svg
148,ESQ,5,3,15,no,small_control,三角形不是紫色的吗？,不，不是真的,不，不是真的,1,3106,pic5_small_control.svg
149,ESQ,13,3,15,no,small_control,三角形不是黑色的吗？,不，不是真的,不，不是真的,1,3602,pic13_small_control.svg
150,ESQ,5,2,6,more,empty_scope,超过三个三角形是紫色的吗？,不，不是真的,不，不是真的,1,4428,pic5_empty_scope.svg
151,ESQ,12,4,8,more,large_control,四个以上的十字是灰色的吗？,是的，没错,是的，没错,1,1795,pic12_large_control.svg
152,DIST,109,3,7,every,true_control_target_left,每个十字架是灰色还是紫色？,是的，没错,奇怪的问题,0,2538,pic109_true_control_target_left.svg
153,ESQ,1,1,9,every,empty_restrictor,每个方块都是蓝色的吗？,奇怪的问题,奇怪的问题,1,9346,pic1_empty_restrictor.svg
154,ESQ,4,1,9,every,empty_restrictor,每个十字架都是棕色的吗？,奇怪的问题,不，不是真的,0,8048,pic4_empty_restrictor.svg
155,ESQ,20,1,5,more,empty_restrictor,三颗以上的心是粉红色的吗？,奇怪的问题,不，不是真的,0,8914,pic20_empty_restrictor.svg
156,DIST,108,1,5,every,psp_violation_target_left,每颗心都是黄色还是黑色？,奇怪的问题,奇怪的问题,1,5188,pic108_psp_violation_target_left.svg
157,ESQ,9,4,8,more,large_control,超过四个三角形是红色的吗？,是的，没错,是的，没错,1,1725,pic9_large_control.svg
158,ESQ,12,1,5,more,empty_restrictor,四个以上的十字是灰色的吗？,奇怪的问题,不，不是真的,0,8058,pic12_empty_restrictor.svg
159,ESQ,3,4,8,more,large_control,超过四颗心是灰色的吗？,是的，没错,是的，没错,1,1813,pic3_large_control.svg
160,ESQ,9,1,9,every,empty_restrictor,每个三角形都是红色的吗？,奇怪的问题,不，不是真的,0,8089,pic9_empty_restrictor.svg
161,ESQ,9,3,7,more,small_control,超过四个三角形是红色的吗？,不，不是真的,不，不是真的,1,2310,pic9_small_control.svg
162,ESQ,7,1,13,no,empty_restrictor,正方形不是黑色的吗？,奇怪的问题,奇怪的问题,1,19636,pic7_empty_restrictor.svg
163,ESQ,4,2,14,no,empty_scope,不是有十字棕色吗？,是的，没错,是的，没错,1,2145,pic4_empty_scope.svg
164,ESQ,14,1,9,every,empty_restrictor,每个十字架都是粉红色的吗？,奇怪的问题,不，不是真的,0,3149,pic14_empty_restrictor.svg
165,ESQ,12,3,15,no,small_control,不是有十字灰色吗？,不，不是真的,是的，没错,0,5594,pic12_small_control.svg
166,ESQ,18,1,5,more,empty_restrictor,超过四个方块是橙色的吗？,奇怪的问题,不，不是真的,0,7874,pic18_empty_restrictor.svg
167,ESQ,15,1,9,every,empty_restrictor,每个三角形都是蓝色的吗？,奇怪的问题,奇怪的问题,1,6160,pic15_empty_restrictor.svg
168,ESQ,11,4,8,more,large_control,超过三个圆圈是黄色的吗？,是的，没错,是的，没错,1,1528,pic11_large_control.svg
169,ESQ,11,2,10,every,empty_scope,每个圆圈都是黄色的吗？,不，不是真的,不，不是真的,1,3964,pic11_empty_scope.svg
170,ESQ,20,2,14,no,empty_scope,心不是粉红色的吗？,是的，没错,不，不是真的,0,2054,pic20_empty_scope.svg
171,DIST,110,1,5,every,psp_violation_target_left,每个圆圈是黄色还是红色？,奇怪的问题,奇怪的问题,1,2193,pic110_psp_violation_target_left.svg
172,ESQ,12,2,14,no,empty_scope,不是有十字灰色吗？,是的，没错,是的，没错,1,7321,pic12_empty_scope.svg
173,Filler,401,2,2,,at_most_zero,最多三个三角形是蓝色的吗？,是的，没错,是的，没错,1,13620,pic15_empty_scope.svg
174,ESQ,20,3,7,more,small_control,三颗以上的心是粉红色的吗？,不，不是真的,不，不是真的,1,8049,pic20_small_control.svg
175,DIST,108,2,2,every,target_target_right,每一颗心都是黑色的还是黄色的？,是的，没错,奇怪的问题,0,2584,pic108_target_target_right.svg
176,ESQ,7,1,5,more,empty_restrictor,超过四个方块都是黑色的吗？,奇怪的问题,不，不是真的,0,2963,pic7_empty_restrictor.svg
177,ESQ,16,2,14,no,empty_scope,心不是绿色的吗？,是的，没错,是的，没错,1,1597,pic16_empty_scope.svg
178,DIST,109,3,3,every,true_control_target_right,每个十字架是紫色还是灰色？,是的，没错,奇怪的问题,0,3640,pic109_true_control_target_right.svg
179,ESQ,7,1,9,every,empty_restrictor,每个方块都是黑色的吗？,奇怪的问题,奇怪的问题,1,7371,pic7_empty_restrictor.svg
180,ESQ,6,3,11,every,small_control,每颗心都是绿松石吗？,不，不是真的,不，不是真的,1,2723,pic6_small_control.svg
181,ESQ,11,1,9,every,empty_restrictor,每个圆圈都是黄色的吗？,奇怪的问题,奇怪的问题,1,3700,pic11_empty_restrictor.svg
182,ESQ,2,2,10,every,empty_scope,每个圆圈都是橙色的吗？,不，不是真的,不，不是真的,1,1781,pic2_empty_scope.svg
183,ESQ,8,4,12,every,large_control,每个圆圈都是灰色的吗？,是的，没错,是的，没错,1,1243,pic8_large_control.svg
184,ESQ,3,4,16,no,large_control,没有心是灰色的吗？,不，不是真的,是的，没错,0,1808,pic3_large_control.svg
185,ESQ,14,2,2,less,empty_scope,少于四个十字架是粉红色的吗？,是的，没错,是的，没错,1,4015,pic14_empty_scope.svg
186,ESQ,2,4,4,less,large_control,少于四个圆圈是橙色的吗？,不，不是真的,不，不是真的,1,3906,pic2_large_control.svg
187,ESQ,16,1,5,more,empty_restrictor,超过四颗心是绿色的吗？,奇怪的问题,不，不是真的,0,4756,pic16_empty_restrictor.svg
188,DIST,104,2,6,every,target_target_left,每个十字架都是黑色还是粉色？,是的，没错,奇怪的问题,0,3377,pic104_target_target_left.svg
189,ESQ,10,1,5,more,empty_restrictor,超过三个圆圈是绿松石吗？,奇怪的问题,不，不是真的,0,2378,pic10_empty_restrictor.svg
190,Filler,1011,10,10,,psp_failure_both,两颗心都是黄色的吗？,奇怪的问题,不，不是真的,0,5179,pic312_einige_some_but_not_all.svg
191,ESQ,12,1,1,less,empty_restrictor,少于四个十字架是灰色的吗？,奇怪的问题,是的，没错,0,4814,pic12_empty_restrictor.svg
192,DIST,101,1,5,every,psp_violation_target_left,每个三角形是蓝色还是红色？,奇怪的问题,奇怪的问题,1,3397,pic101_psp_violation_target_left.svg
193,ESQ,7,4,4,less,large_control,少于四个方块是黑色的吗？,不，不是真的,奇怪的问题,0,12560,pic7_large_control.svg
194,ESQ,3,3,11,every,small_control,每一颗心都是灰色的吗？,不，不是真的,不，不是真的,1,2854,pic3_small_control.svg
195,ESQ,13,3,11,every,small_control,每个三角形都是黑色的吗？,不，不是真的,不，不是真的,1,3243,pic13_small_control.svg
196,ESQ,17,1,9,every,empty_restrictor,每个方块都是紫色的吗？,奇怪的问题,奇怪的问题,1,4796,pic17_empty_restrictor.svg
197,ESQ,11,3,11,every,small_control,每个圆圈都是黄色的吗？,不，不是真的,不，不是真的,1,2354,pic11_small_control.svg
198,Filler,1001,10,10,,psp_failure_definite_filler,那个正方形是黄色的吗？,奇怪的问题,奇怪的问题,1,5341,pic106_psp_violation_target_right.svg
199,ESQ,19,4,4,less,large_control,黄色十字是否少于四个？,不，不是真的,不，不是真的,1,2276,pic19_large_control.svg
200,ESQ,5,4,4,less,large_control,少于三个三角形是紫色的吗？,不，不是真的,是的，没错,0,16182,pic5_large_control.svg
201,ESQ,10,4,4,less,large_control,少于三个圆圈是绿松石吗？,不，不是真的,奇怪的问题,0,6681,pic10_large_control.svg
202,ESQ,16,4,4,less,large_control,少于四颗心是绿色的吗？,不，不是真的,奇怪的问题,0,13074,pic16_large_control.svg
203,ESQ,11,1,1,less,empty_restrictor,少于三个圆圈是黄色的吗？,奇怪的问题,不，不是真的,0,6069,pic11_empty_restrictor.svg
