Experiment,Item,Condition,Condition_ID,quantifier,scenario,n_quantifier,n_target_objects,shape_noun,color_adjective1,color_adjective2,Sentence_german,Expected_answer,list,target_objects,Form_left,colour1_left,n_colour1_left,colour2_left,n_colour2_left,Form_right,colour1_right,n_colour1_right,colour2_right,n_colour2_right
ESQ,2,2,6,more,empty_scope,4.0,7.0,circle,orange,,Sind mehr als vier Kreise orange?,"nein, stimmt nicht",4,right,heart,orange,4,pink,5,circle,orange,0,pink,7
ESQ,2,3,7,more,small_control,4.0,7.0,circle,orange,,Sind mehr als vier Kreise orange?,"nein, stimmt nicht",1,right,heart,orange,4,pink,5,circle,orange,1,pink,6
ESQ,2,4,8,more,large_control,4.0,7.0,circle,orange,,Sind mehr als vier Kreise orange?,"ja, stimmt",2,right,heart,orange,4,pink,5,circle,orange,7,pink,0
ESQ,2,1,9,every,empty_restrictor,4.0,7.0,circle,orange,,Ist jeder Kreis orange?,komische frage,4,right,heart,orange,4,pink,5,cross,orange,3,pink,4
ESQ,2,2,10,every,empty_scope,4.0,7.0,circle,orange,,Ist jeder Kreis orange?,"nein, stimmt nicht",1,right,heart,orange,4,pink,5,circle,orange,0,pink,7
ESQ,2,3,11,every,small_control,4.0,7.0,circle,orange,,Ist jeder Kreis orange?,"nein, stimmt nicht",2,right,heart,orange,4,pink,5,circle,orange,1,pink,6
ESQ,2,4,12,every,large_control,4.0,7.0,circle,orange,,Ist jeder Kreis orange?,"ja, stimmt",3,right,heart,orange,4,pink,5,circle,orange,7,pink,0
ESQ,2,1,13,no,empty_restrictor,4.0,7.0,circle,orange,,Ist kein Kreis orange?,komische frage,1,right,heart,orange,4,pink,5,cross,orange,3,pink,4
ESQ,2,2,14,no,empty_scope,4.0,7.0,circle,orange,,Ist kein Kreis orange?,"ja, stimmt",2,right,heart,orange,4,pink,5,circle,orange,0,pink,7
ESQ,2,3,15,no,small_control,4.0,7.0,circle,orange,,Ist kein Kreis orange?,"nein, stimmt nicht",3,right,heart,orange,4,pink,5,circle,orange,1,pink,6
ESQ,2,4,16,no,large_control,4.0,7.0,circle,orange,,Ist kein Kreis orange?,"nein, stimmt nicht",4,right,heart,orange,4,pink,5,circle,orange,7,pink,0
ESQ,3,1,1,less,empty_restrictor,4.0,6.0,heart,grau,,Sind weniger als vier Herzen grau?,komische frage,3,right,triangle,grey,2,yellow,3,square,grey,3,yellow,3
ESQ,3,2,2,less,empty_scope,4.0,6.0,heart,grau,,Sind weniger als vier Herzen grau?,"ja, stimmt",4,right,triangle,grey,2,yellow,3,heart,grey,0,yellow,6
ESQ,3,3,3,less,small_control,4.0,6.0,heart,grau,,Sind weniger als vier Herzen grau?,"ja, stimmt",1,right,triangle,grey,2,yellow,3,heart,grey,2,yellow,4
ESQ,3,4,4,less,large_control,4.0,6.0,heart,grau,,Sind weniger als vier Herzen grau?,"nein, stimmt nicht",2,right,triangle,grey,2,yellow,3,heart,grey,6,yellow,0
ESQ,3,1,5,more,empty_restrictor,4.0,6.0,heart,grau,,Sind mehr als vier Herzen grau?,komische frage,4,right,triangle,grey,2,yellow,3,square,grey,3,yellow,3
ESQ,3,2,6,more,empty_scope,4.0,6.0,heart,grau,,Sind mehr als vier Herzen grau?,"nein, stimmt nicht",1,right,triangle,grey,2,yellow,3,heart,grey,0,yellow,6
ESQ,3,3,7,more,small_control,4.0,6.0,heart,grau,,Sind mehr als vier Herzen grau?,"nein, stimmt nicht",2,right,triangle,grey,2,yellow,3,heart,grey,2,yellow,4
ESQ,3,4,8,more,large_control,4.0,6.0,heart,grau,,Sind mehr als vier Herzen grau?,"ja, stimmt",3,right,triangle,grey,2,yellow,3,heart,grey,6,yellow,0
ESQ,3,1,9,every,empty_restrictor,4.0,6.0,heart,grau,,Ist jedes Herz grau?,komische frage,1,right,triangle,grey,2,yellow,3,square,grey,3,yellow,3
ESQ,3,2,10,every,empty_scope,4.0,6.0,heart,grau,,Ist jedes Herz grau?,"nein, stimmt nicht",2,right,triangle,grey,2,yellow,3,heart,grey,0,yellow,6
ESQ,3,3,11,every,small_control,4.0,6.0,heart,grau,,Ist jedes Herz grau?,"nein, stimmt nicht",3,right,triangle,grey,2,yellow,3,heart,grey,2,yellow,4
ESQ,3,4,12,every,large_control,4.0,6.0,heart,grau,,Ist jedes Herz grau?,"ja, stimmt",4,right,triangle,grey,2,yellow,3,heart,grey,6,yellow,0
ESQ,3,1,13,no,empty_restrictor,4.0,6.0,heart,grau,,Ist kein Herz grau?,komische frage,2,right,triangle,grey,2,yellow,3,square,grey,3,yellow,3
ESQ,3,2,14,no,empty_scope,4.0,6.0,heart,grau,,Ist kein Herz grau?,"ja, stimmt",3,right,triangle,grey,2,yellow,3,heart,grey,0,yellow,6
ESQ,3,3,15,no,small_control,4.0,6.0,heart,grau,,Ist kein Herz grau?,"nein, stimmt nicht",4,right,triangle,grey,2,yellow,3,heart,grey,2,yellow,4
ESQ,3,4,16,no,large_control,4.0,6.0,heart,grau,,Ist kein Herz grau?,"nein, stimmt nicht",1,right,triangle,grey,2,yellow,3,heart,grey,6,yellow,0
ESQ,4,1,1,less,empty_restrictor,4.0,7.0,cross,braun,,Sind weniger als vier Kreuze braun?,komische frage,4,right,square,brown,1,green,5,heart,brown,3,green,4
ESQ,4,2,2,less,empty_scope,4.0,7.0,cross,braun,,Sind weniger als vier Kreuze braun?,"ja, stimmt",1,right,square,brown,1,green,5,cross,brown,0,green,7
ESQ,4,3,3,less,small_control,4.0,7.0,cross,braun,,Sind weniger als vier Kreuze braun?,"ja, stimmt",2,right,square,brown,1,green,5,cross,brown,2,green,5
ESQ,4,4,4,less,large_control,4.0,7.0,cross,braun,,Sind weniger als vier Kreuze braun?,"nein, stimmt nicht",3,right,square,brown,1,green,5,cross,brown,7,green,0
ESQ,4,1,5,more,empty_restrictor,4.0,7.0,cross,braun,,Sind mehr als vier Kreuze braun?,komische frage,1,right,square,brown,1,green,5,heart,brown,3,green,4
ESQ,4,2,6,more,empty_scope,4.0,7.0,cross,braun,,Sind mehr als vier Kreuze braun?,"nein, stimmt nicht",2,right,square,brown,1,green,5,cross,brown,0,green,7
ESQ,4,3,7,more,small_control,4.0,7.0,cross,braun,,Sind mehr als vier Kreuze braun?,"nein, stimmt nicht",3,right,square,brown,1,green,5,cross,brown,2,green,5
ESQ,4,4,8,more,large_control,4.0,7.0,cross,braun,,Sind mehr als vier Kreuze braun?,"ja, stimmt",4,right,square,brown,1,green,5,cross,brown,7,green,0
ESQ,4,1,9,every,empty_restrictor,4.0,7.0,cross,braun,,Ist jedes Kreuz braun?,komische frage,2,right,square,brown,1,green,5,heart,brown,3,green,4
ESQ,4,2,10,every,empty_scope,4.0,7.0,cross,braun,,Ist jedes Kreuz braun?,"nein, stimmt nicht",3,right,square,brown,1,green,5,cross,brown,0,green,7
ESQ,4,3,11,every,small_control,4.0,7.0,cross,braun,,Ist jedes Kreuz braun?,"nein, stimmt nicht",4,right,square,brown,1,green,5,cross,brown,2,green,5
ESQ,4,4,12,every,large_control,4.0,7.0,cross,braun,,Ist jedes Kreuz braun?,"ja, stimmt",1,right,square,brown,1,green,5,cross,brown,7,green,0
ESQ,4,1,13,no,empty_restrictor,4.0,7.0,cross,braun,,Ist kein Kreuz braun?,komische frage,3,right,square,brown,1,green,5,heart,brown,3,green,4
ESQ,4,2,14,no,empty_scope,4.0,7.0,cross,braun,,Ist kein Kreuz braun?,"ja, stimmt",4,right,square,brown,1,green,5,cross,brown,0,green,7
ESQ,4,3,15,no,small_control,4.0,7.0,cross,braun,,Ist kein Kreuz braun?,"nein, stimmt nicht",1,right,square,brown,1,green,5,cross,brown,2,green,5
ESQ,4,4,16,no,large_control,4.0,7.0,cross,braun,,Ist kein Kreuz braun?,"nein, stimmt nicht",2,right,square,brown,1,green,5,cross,brown,7,green,0
ESQ,5,1,1,less,empty_restrictor,3.0,6.0,triangle,lila,,Sind weniger als drei Dreiecke lila?,komische frage,1,right,cross,purple,5,red,3,circle,purple,3,red,3
ESQ,5,2,2,less,empty_scope,3.0,6.0,triangle,lila,,Sind weniger als drei Dreiecke lila?,"ja, stimmt",2,right,cross,purple,5,red,3,triangle,purple,0,red,6
ESQ,5,3,3,less,small_control,3.0,6.0,triangle,lila,,Sind weniger als drei Dreiecke lila?,"ja, stimmt",3,right,cross,purple,5,red,3,triangle,purple,1,red,5
ESQ,5,4,4,less,large_control,3.0,6.0,triangle,lila,,Sind weniger als drei Dreiecke lila?,"nein, stimmt nicht",4,right,cross,purple,5,red,3,triangle,purple,6,red,0
ESQ,5,1,5,more,empty_restrictor,3.0,6.0,triangle,lila,,Sind mehr als drei Dreiecke lila?,komische frage,2,right,cross,purple,5,red,3,circle,purple,3,red,3
ESQ,5,2,6,more,empty_scope,3.0,6.0,triangle,lila,,Sind mehr als drei Dreiecke lila?,"nein, stimmt nicht",3,right,cross,purple,5,red,3,triangle,purple,0,red,6
ESQ,5,3,7,more,small_control,3.0,6.0,triangle,lila,,Sind mehr als drei Dreiecke lila?,"nein, stimmt nicht",4,right,cross,purple,5,red,3,triangle,purple,1,red,5
ESQ,5,4,8,more,large_control,3.0,6.0,triangle,lila,,Sind mehr als drei Dreiecke lila?,"ja, stimmt",1,right,cross,purple,5,red,3,triangle,purple,6,red,0
ESQ,5,1,9,every,empty_restrictor,3.0,6.0,triangle,lila,,Ist jedes Dreieck lila?,komische frage,3,right,cross,purple,5,red,3,circle,purple,3,red,3
ESQ,5,2,10,every,empty_scope,3.0,6.0,triangle,lila,,Ist jedes Dreieck lila?,"nein, stimmt nicht",4,right,cross,purple,5,red,3,triangle,purple,0,red,6
ESQ,5,3,11,every,small_control,3.0,6.0,triangle,lila,,Ist jedes Dreieck lila?,"nein, stimmt nicht",1,right,cross,purple,5,red,3,triangle,purple,1,red,5
ESQ,5,4,12,every,large_control,3.0,6.0,triangle,lila,,Ist jedes Dreieck lila?,"ja, stimmt",2,right,cross,purple,5,red,3,triangle,purple,6,red,0
ESQ,5,1,13,no,empty_restrictor,3.0,6.0,triangle,lila,,Ist kein Dreieck lila?,komische frage,4,right,cross,purple,5,red,3,circle,purple,3,red,3
ESQ,5,2,14,no,empty_scope,3.0,6.0,triangle,lila,,Ist kein Dreieck lila?,"ja, stimmt",1,right,cross,purple,5,red,3,triangle,purple,0,red,6
ESQ,5,3,15,no,small_control,3.0,6.0,triangle,lila,,Ist kein Dreieck lila?,"nein, stimmt nicht",2,right,cross,purple,5,red,3,triangle,purple,1,red,5
ESQ,5,4,16,no,large_control,3.0,6.0,triangle,lila,,Ist kein Dreieck lila?,"nein, stimmt nicht",3,right,cross,purple,5,red,3,triangle,purple,6,red,0
ESQ,6,1,1,less,empty_restrictor,3.0,5.0,heart,türkis,,Sind weniger als drei Herzen türkis?,komische frage,2,right,circle,turquoise,2,red,4,cross,turquoise,3,red,2
ESQ,6,2,2,less,empty_scope,3.0,5.0,heart,türkis,,Sind weniger als drei Herzen türkis?,"ja, stimmt",3,right,circle,turquoise,2,red,4,heart,turquoise,0,red,5
ESQ,6,3,3,less,small_control,3.0,5.0,heart,türkis,,Sind weniger als drei Herzen türkis?,"ja, stimmt",4,right,circle,turquoise,2,red,4,heart,turquoise,1,red,4
ESQ,6,4,4,less,large_control,3.0,5.0,heart,türkis,,Sind weniger als drei Herzen türkis?,"nein, stimmt nicht",1,right,circle,turquoise,2,red,4,heart,turquoise,5,red,0
ESQ,6,1,5,more,empty_restrictor,3.0,5.0,heart,türkis,,Sind mehr als drei Herzen türkis?,komische frage,3,right,circle,turquoise,2,red,4,cross,turquoise,3,red,2
ESQ,6,2,6,more,empty_scope,3.0,5.0,heart,türkis,,Sind mehr als drei Herzen türkis?,"nein, stimmt nicht",4,right,circle,turquoise,2,red,4,heart,turquoise,0,red,5
ESQ,6,3,7,more,small_control,3.0,5.0,heart,türkis,,Sind mehr als drei Herzen türkis?,"nein, stimmt nicht",1,right,circle,turquoise,2,red,4,heart,turquoise,1,red,4
ESQ,6,4,8,more,large_control,3.0,5.0,heart,türkis,,Sind mehr als drei Herzen türkis?,"ja, stimmt",2,right,circle,turquoise,2,red,4,heart,turquoise,5,red,0
ESQ,6,1,9,every,empty_restrictor,3.0,5.0,heart,türkis,,Ist jedes Herz türkis?,komische frage,4,right,circle,turquoise,2,red,4,cross,turquoise,3,red,2
ESQ,6,2,10,every,empty_scope,3.0,5.0,heart,türkis,,Ist jedes Herz türkis?,"nein, stimmt nicht",1,right,circle,turquoise,2,red,4,heart,turquoise,0,red,5
ESQ,6,3,11,every,small_control,3.0,5.0,heart,türkis,,Ist jedes Herz türkis?,"nein, stimmt nicht",2,right,circle,turquoise,2,red,4,heart,turquoise,1,red,4
ESQ,6,4,12,every,large_control,3.0,5.0,heart,türkis,,Ist jedes Herz türkis?,"ja, stimmt",3,right,circle,turquoise,2,red,4,heart,turquoise,5,red,0
ESQ,6,1,13,no,empty_restrictor,3.0,5.0,heart,türkis,,Ist kein Herz türkis?,komische frage,1,right,circle,turquoise,2,red,4,cross,turquoise,3,red,2
ESQ,6,2,14,no,empty_scope,3.0,5.0,heart,türkis,,Ist kein Herz türkis?,"ja, stimmt",2,right,circle,turquoise,2,red,4,heart,turquoise,0,red,5
ESQ,6,3,15,no,small_control,3.0,5.0,heart,türkis,,Ist kein Herz türkis?,"nein, stimmt nicht",3,right,circle,turquoise,2,red,4,heart,turquoise,1,red,4
ESQ,6,4,16,no,large_control,3.0,5.0,heart,türkis,,Ist kein Herz türkis?,"nein, stimmt nicht",4,right,circle,turquoise,2,red,4,heart,turquoise,5,red,0
ESQ,7,1,1,less,empty_restrictor,4.0,6.0,square,schwarz,,Sind weniger als vier Quadrate schwarz?,komische frage,3,right,heart,orange,3,black,1,triangle,orange,3,black,3
ESQ,7,2,2,less,empty_scope,4.0,6.0,square,schwarz,,Sind weniger als vier Quadrate schwarz?,"ja, stimmt",4,right,heart,orange,3,black,1,square,orange,0,black,6
ESQ,7,3,3,less,small_control,4.0,6.0,square,schwarz,,Sind weniger als vier Quadrate schwarz?,"ja, stimmt",1,right,heart,orange,3,black,1,square,orange,2,black,4
ESQ,7,4,4,less,large_control,4.0,6.0,square,schwarz,,Sind weniger als vier Quadrate schwarz?,"nein, stimmt nicht",2,right,heart,orange,3,black,1,square,orange,6,black,0
ESQ,7,1,5,more,empty_restrictor,4.0,6.0,square,schwarz,,Sind mehr als vier Quadrate schwarz?,komische frage,4,right,heart,orange,3,black,1,triangle,orange,3,black,3
ESQ,7,2,6,more,empty_scope,4.0,6.0,square,schwarz,,Sind mehr als vier Quadrate schwarz?,"nein, stimmt nicht",1,right,heart,orange,3,black,1,square,orange,0,black,6
ESQ,7,3,7,more,small_control,4.0,6.0,square,schwarz,,Sind mehr als vier Quadrate schwarz?,"nein, stimmt nicht",2,right,heart,orange,3,black,1,square,orange,2,black,4
ESQ,7,4,8,more,large_control,4.0,6.0,square,schwarz,,Sind mehr als vier Quadrate schwarz?,"ja, stimmt",3,right,heart,orange,3,black,1,square,orange,6,black,0
ESQ,7,1,9,every,empty_restrictor,4.0,6.0,square,schwarz,,Ist jedes Quadrat schwarz?,komische frage,1,right,heart,orange,3,black,1,triangle,orange,3,black,3
ESQ,7,2,10,every,empty_scope,4.0,6.0,square,schwarz,,Ist jedes Quadrat schwarz?,"nein, stimmt nicht",2,right,heart,orange,3,black,1,square,orange,0,black,6
ESQ,7,3,11,every,small_control,4.0,6.0,square,schwarz,,Ist jedes Quadrat schwarz?,"nein, stimmt nicht",3,right,heart,orange,3,black,1,square,orange,2,black,4
ESQ,7,4,12,every,large_control,4.0,6.0,square,schwarz,,Ist jedes Quadrat schwarz?,"ja, stimmt",4,right,heart,orange,3,black,1,square,orange,6,black,0
ESQ,7,1,13,no,empty_restrictor,4.0,6.0,square,schwarz,,Ist kein Quadrat schwarz?,komische frage,2,right,heart,orange,3,black,1,triangle,orange,3,black,3
ESQ,7,2,14,no,empty_scope,4.0,6.0,square,schwarz,,Ist kein Quadrat schwarz?,"ja, stimmt",3,right,heart,orange,3,black,1,square,orange,0,black,6
ESQ,7,3,15,no,small_control,4.0,6.0,square,schwarz,,Ist kein Quadrat schwarz?,"nein, stimmt nicht",4,right,heart,orange,3,black,1,square,orange,2,black,4
ESQ,7,4,16,no,large_control,4.0,6.0,square,schwarz,,Ist kein Quadrat schwarz?,"nein, stimmt nicht",1,right,heart,orange,3,black,1,square,orange,6,black,0
ESQ,8,1,1,less,empty_restrictor,3.0,5.0,circle,grau,,Sind weniger als drei Kreise grau?,komische frage,4,right,triangle,grey,4,blue,4,cross,grey,3,blue,2
ESQ,8,2,2,less,empty_scope,3.0,5.0,circle,grau,,Sind weniger als drei Kreise grau?,"ja, stimmt",1,right,triangle,grey,4,blue,4,circle,grey,0,blue,5
ESQ,8,3,3,less,small_control,3.0,5.0,circle,grau,,Sind weniger als drei Kreise grau?,"ja, stimmt",2,right,triangle,grey,4,blue,4,circle,grey,2,blue,3
ESQ,8,4,4,less,large_control,3.0,5.0,circle,grau,,Sind weniger als drei Kreise grau?,"nein, stimmt nicht",3,right,triangle,grey,4,blue,4,circle,grey,5,blue,0
ESQ,8,1,5,more,empty_restrictor,3.0,5.0,circle,grau,,Sind mehr als drei Kreise grau?,komische frage,1,right,triangle,grey,4,blue,4,cross,grey,3,blue,2
ESQ,8,2,6,more,empty_scope,3.0,5.0,circle,grau,,Sind mehr als drei Kreise grau?,"nein, stimmt nicht",2,right,triangle,grey,4,blue,4,circle,grey,0,blue,5
ESQ,8,3,7,more,small_control,3.0,5.0,circle,grau,,Sind mehr als drei Kreise grau?,"nein, stimmt nicht",3,right,triangle,grey,4,blue,4,circle,grey,2,blue,3
ESQ,8,4,8,more,large_control,3.0,5.0,circle,grau,,Sind mehr als drei Kreise grau?,"ja, stimmt",4,right,triangle,grey,4,blue,4,circle,grey,5,blue,0
ESQ,8,1,9,every,empty_restrictor,3.0,5.0,circle,grau,,Ist jeder Kreis grau?,komische frage,2,right,triangle,grey,4,blue,4,cross,grey,3,blue,2
ESQ,8,2,10,every,empty_scope,3.0,5.0,circle,grau,,Ist jeder Kreis grau?,"nein, stimmt nicht",3,right,triangle,grey,4,blue,4,circle,grey,0,blue,5
ESQ,8,3,11,every,small_control,3.0,5.0,circle,grau,,Ist jeder Kreis grau?,"nein, stimmt nicht",4,right,triangle,grey,4,blue,4,circle,grey,2,blue,3
ESQ,8,4,12,every,large_control,3.0,5.0,circle,grau,,Ist jeder Kreis grau?,"ja, stimmt",1,right,triangle,grey,4,blue,4,circle,grey,5,blue,0
ESQ,8,1,13,no,empty_restrictor,3.0,5.0,circle,grau,,Ist kein Kreis grau?,komische frage,3,right,triangle,grey,4,blue,4,cross,grey,3,blue,2
ESQ,8,2,14,no,empty_scope,3.0,5.0,circle,grau,,Ist kein Kreis grau?,"ja, stimmt",4,right,triangle,grey,4,blue,4,circle,grey,0,blue,5
ESQ,8,3,15,no,small_control,3.0,5.0,circle,grau,,Ist kein Kreis grau?,"nein, stimmt nicht",1,right,triangle,grey,4,blue,4,circle,grey,2,blue,3
ESQ,8,4,16,no,large_control,3.0,5.0,circle,grau,,Ist kein Kreis grau?,"nein, stimmt nicht",2,right,triangle,grey,4,blue,4,circle,grey,5,blue,0
ESQ,9,1,1,less,empty_restrictor,4.0,7.0,triangle,rot,,Sind weniger als vier Dreiecke rot?,komische frage,1,right,square,red,5,purple,2,circle,red,3,purple,4
ESQ,9,2,2,less,empty_scope,4.0,7.0,triangle,rot,,Sind weniger als vier Dreiecke rot?,"ja, stimmt",2,right,square,red,5,purple,2,triangle,red,0,purple,7
ESQ,9,3,3,less,small_control,4.0,7.0,triangle,rot,,Sind weniger als vier Dreiecke rot?,"ja, stimmt",3,right,square,red,5,purple,2,triangle,red,1,purple,6
ESQ,9,4,4,less,large_control,4.0,7.0,triangle,rot,,Sind weniger als vier Dreiecke rot?,"nein, stimmt nicht",4,right,square,red,5,purple,2,triangle,red,7,purple,0
ESQ,9,1,5,more,empty_restrictor,4.0,7.0,triangle,rot,,Sind mehr als vier Dreiecke rot?,komische frage,2,right,square,red,5,purple,2,circle,red,3,purple,4
ESQ,9,2,6,more,empty_scope,4.0,7.0,triangle,rot,,Sind mehr als vier Dreiecke rot?,"nein, stimmt nicht",3,right,square,red,5,purple,2,triangle,red,0,purple,7
ESQ,9,3,7,more,small_control,4.0,7.0,triangle,rot,,Sind mehr als vier Dreiecke rot?,"nein, stimmt nicht",4,right,square,red,5,purple,2,triangle,red,1,purple,6
ESQ,9,4,8,more,large_control,4.0,7.0,triangle,rot,,Sind mehr als vier Dreiecke rot?,"ja, stimmt",1,right,square,red,5,purple,2,triangle,red,7,purple,0
ESQ,9,1,9,every,empty_restrictor,4.0,7.0,triangle,rot,,Ist jedes Dreieck rot?,komische frage,3,right,square,red,5,purple,2,circle,red,3,purple,4
ESQ,9,2,10,every,empty_scope,4.0,7.0,triangle,rot,,Ist jedes Dreieck rot?,"nein, stimmt nicht",4,right,square,red,5,purple,2,triangle,red,0,purple,7
ESQ,9,3,11,every,small_control,4.0,7.0,triangle,rot,,Ist jedes Dreieck rot?,"nein, stimmt nicht",1,right,square,red,5,purple,2,triangle,red,1,purple,6
ESQ,9,4,12,every,large_control,4.0,7.0,triangle,rot,,Ist jedes Dreieck rot?,"ja, stimmt",2,right,square,red,5,purple,2,triangle,red,7,purple,0
ESQ,9,1,13,no,empty_restrictor,4.0,7.0,triangle,rot,,Ist kein Dreieck rot?,komische frage,4,right,square,red,5,purple,2,circle,red,3,purple,4
ESQ,9,2,14,no,empty_scope,4.0,7.0,triangle,rot,,Ist kein Dreieck rot?,"ja, stimmt",1,right,square,red,5,purple,2,triangle,red,0,purple,7
ESQ,9,3,15,no,small_control,4.0,7.0,triangle,rot,,Ist kein Dreieck rot?,"nein, stimmt nicht",2,right,square,red,5,purple,2,triangle,red,1,purple,6
ESQ,9,4,16,no,large_control,4.0,7.0,triangle,rot,,Ist kein Dreieck rot?,"nein, stimmt nicht",3,right,square,red,5,purple,2,triangle,red,7,purple,0
ESQ,10,1,1,less,empty_restrictor,3.0,5.0,circle,türkis,,Sind weniger als drei Kreise türkis?,komische frage,2,right,cross,turquoise,3,yellow,5,heart,turquoise,3,yellow,2
ESQ,10,2,2,less,empty_scope,3.0,5.0,circle,türkis,,Sind weniger als drei Kreise türkis?,"ja, stimmt",3,right,cross,turquoise,3,yellow,5,square,turquoise,0,yellow,5
ESQ,10,3,3,less,small_control,3.0,5.0,circle,türkis,,Sind weniger als drei Kreise türkis?,"ja, stimmt",4,right,cross,turquoise,3,yellow,5,square,turquoise,2,yellow,3
ESQ,10,4,4,less,large_control,3.0,5.0,circle,türkis,,Sind weniger als drei Kreise türkis?,"nein, stimmt nicht",1,right,cross,turquoise,3,yellow,5,square,turquoise,5,yellow,0
ESQ,10,1,5,more,empty_restrictor,3.0,5.0,circle,türkis,,Sind mehr als drei Kreise türkis?,komische frage,3,right,cross,turquoise,3,yellow,5,heart,turquoise,3,yellow,2
ESQ,10,2,6,more,empty_scope,3.0,5.0,circle,türkis,,Sind mehr als drei Kreise türkis?,"nein, stimmt nicht",4,right,cross,turquoise,3,yellow,5,square,turquoise,0,yellow,5
ESQ,10,3,7,more,small_control,3.0,5.0,circle,türkis,,Sind mehr als drei Kreise türkis?,"nein, stimmt nicht",1,right,cross,turquoise,3,yellow,5,square,turquoise,2,yellow,3
ESQ,10,4,8,more,large_control,3.0,5.0,circle,türkis,,Sind mehr als drei Kreise türkis?,"ja, stimmt",2,right,cross,turquoise,3,yellow,5,square,turquoise,5,yellow,0
ESQ,10,1,9,every,empty_restrictor,3.0,5.0,circle,türkis,,Ist jeder Kreis türkis?,komische frage,4,right,cross,turquoise,3,yellow,5,heart,turquoise,3,yellow,2
